ORF	growth;standard
YFR054C	1.054
YFR055W	1.085
YFR056C	1.000
YFR057W	1.039
YGL002W	0.993
YGL003C	0.755
YGL004C	0.989
YGL005C	0.971
YGL006W	1.023
YGL006W-A	1.020
YGL007C-A	0.529
YGL007W	0.879
YGL009C	1.040
YGL010W	1.000
YGL012W	0.818
YGL013C	0.981
YGL014W	0.983
YGL015C	1.024
YGL016W	0.880
YGL017W	1.004
YGL019W	0.817
YGL020C	0.933
YGL021W	1.030
YGL023C	0.926
YGL024W	0.398
YGL025C	0.340
YGL027C	0.954
YGL028C	1.029
YGL029W	0.724
YGL031C	0.800
YGL032C	1.022
YGL034C	1.039
YGL035C	1.057
YGL036W	0.980
YGL037C	1.021
YGL039W	1.036
YGL041C	1.044
YGL042C	0.869
YGL043W	0.810
YGL045W	0.884
YGL046W	0.860
YGL049C	0.384
YGL050W	0.990
YGL051W	1.021
YGL053W	1.027
YGL054C	1.003
YGL056C	1.015
YGL057C	0.996
YGL058W	0.432
YGL059W	1.044
YGL060W	0.983
YGL062W	1.037
YGL063W	0.997
YGL064C	0.520
YGL066W	0.729
YGL067W	1.004
YGL070C	0.410
YGL071W	0.790
YGL077C	0.998
YGL078C	0.681
YGL079W	0.989
YGL080W	0.984
YGL081W	0.996
YGL082W	1.054
YGL083W	1.033
YGL084C	0.881
YGL085W	0.997
YGL086W	0.990
YGL087C	0.998
YGL089C	1.097
YGL090W	1.029
YGL094C	1.125
YGL095C	0.382
YGL096W	1.049
YGL100W	0.642
YGL101W	1.018
YGL104C	0.985
YGL105W	0.412
YGL107C	0.443
YGL108C	1.024
YGL109W	1.041
YGL110C	0.971
YGL114W	1.013
YGL115W	0.856
YGL117W	1.005
YGL118C	1.046
YGL119W	0.757
YGL121C	1.052
YGL124C	0.836
YGL125W	1.022
YGL126W	0.988
YGL127C	0.662
YGL129C	0.384
YGL131C	0.998
YGL132W	1.030
YGL133W	0.944
YGL134W	1.074
YGL135W	0.566
YGL138C	1.036
YGL139W	1.023
YGL140C	1.037
YGL141W	1.045
YGL143C	0.463
YGL144C	0.986
YGL146C	1.014
YGL147C	0.831
YGL148W	0.907
YGL149W	0.856
YGL151W	0.890
YGL152C	0.896
YGL153W	0.861
YGL156W	1.022
YGL157W	1.027
YGL158W	1.043
YGL159W	1.002
YGL160W	1.040
YGL161C	1.036
YGL162W	1.029
YGL163C	0.893
YGL164C	1.089
YGL165C	1.020
YGL166W	1.027
YGL167C	0.678
YGL168W	0.582
YGL170C	1.004
YGL173C	0.551
YGL174W	0.836
YGL175C	0.994
YGL176C	1.052
YGL177W	1.072
YGL178W	1.112
YGL179C	1.024
YGL180W	0.936
YGL181W	1.042
YGL183C	1.076
YGL184C	1.013
YGL185C	1.040
YGL186C	0.787
YGL187C	0.681
YGL188C-A	0.342
YGL189C	0.442
YGL190C	0.629
YGL191W	0.891
YGL192W	1.014
YGL194C	0.966
YGL195W	0.946
YGL196W	1.002
YGL197W	1.000
YGL198W	1.030
YGL199C	1.015
YGL200C	1.036
YGL202W	0.942
YGL203C	0.969
YGL205W	0.977
YGL208W	0.998
YGL209W	0.983
YGL210W	0.964
YGL211W	0.873
YGL212W	0.609
YGL213C	0.924
YGL215W	0.994
YGL216W	0.982
YGL217C	0.965
YGL218W	0.465
YGL220W	0.935
YGL221C	0.966
YGL222C	1.010
YGL224C	1.029
YGL226C-A	1.008
YGL226W	0.943
YGL227W	1.006
YGL228W	1.025
YGL229C	1.010
YGL230C	0.984
YGL231C	1.030
YGL232W	1.046
YGL234W	1.052
YGL235W	0.940
YGL236C	0.926
YGL237C	0.804
YGL240W	0.807
YGL241W	0.987
YGL242C	1.015
YGL243W	1.052
YGL244W	0.649
YGL246C	0.339
YGL248W	1.023
YGL249W	0.992
YGL251C	0.910
YGL252C	0.668
YGL253W	0.933
YGL254W	0.981
YGL255W	0.824
YGL256W	1.052
YGL257C	1.019
YGL258W	1.015
YGL258W-A	1.060
YGL259W	1.062
YGL260W	1.046
YGL261C	0.996
YGL262W	1.050
YGL263W	1.039
YGR001C	1.002
YGR003W	0.986
YGR004W	1.044
YGR007W	1.009
YGR008C	1.025
YGR010W	1.057
YGR011W	1.031
YGR012W	1.032
YGR014W	1.045
YGR015C	1.025
YGR016W	1.022
YGR017W	0.993
YGR018C	0.953
YGR019W	1.023
YGR020C	0.276
YGR021W	1.045
YGR022C	1.032
YGR023W	1.066
YGR025W	1.121
YGR026W	1.026
YGR027C	0.853
YGR028W	0.966
YGR031W	1.017
YGR032W	1.013
YGR033C	1.018
YGR034W	0.877
YGR035C	1.013
YGR035W-A	1.095
YGR036C	0.419
YGR037C	1.044
YGR038W	0.988
YGR039W	0.988
YGR040W	0.988
YGR041W	0.987
YGR042W	0.993
YGR043C	1.023
YGR044C	1.061
YGR045C	1.036
YGR049W	1.051
YGR050C	1.044
YGR051C	1.085
YGR052W	1.035
YGR053C	0.980
YGR054W	0.979
YGR055W	1.002
YGR057C	0.780
YGR058W	0.944
YGR059W	1.038
YGR061C	1.040
YGR062C	0.720
YGR063C	0.514
YGR066C	1.044
YGR067C	1.040
YGR068C	1.007
YGR069W	1.017
YGR070W	1.035
YGR071C	1.062
YGR072W	1.003
YGR076C	0.546
YGR077C	0.856
YGR078C	0.667
YGR079W	0.972
YGR080W	0.999
YGR081C	0.847
YGR084C	0.977
YGR085C	0.801
YGR086C	0.992
YGR087C	1.024
YGR088W	1.044
YGR089W	0.961
YGR092W	0.730
YGR093W	1.006
YGR096W	1.065
YGR097W	0.461
YGR100W	0.976
YGR101W	0.739
YGR102C	1.000
YGR104C	0.449
YGR105W	0.420
YGR106C	1.033
YGR107W	0.988
YGR108W	1.007
YGR109C	1.031
YGR110W	0.996
YGR111W	1.008
YGR112W	0.799
YGR117C	1.008
YGR118W	0.807
YGR121C	1.066
YGR121W-A	1.022
YGR122C-A	0.962
YGR122W	0.873
YGR123C	1.063
YGR124W	1.022
YGR125W	0.866
YGR126W	1.064
YGR127W	1.015
YGR129W	1.002
YGR130C	1.031
YGR131W	1.066
YGR132C	1.004
YGR133W	0.909
YGR134W	0.987
YGR135W	0.845
YGR136W	1.047
YGR137W	1.020
YGR138C	1.009
YGR139W	1.007
YGR141W	0.956
YGR142W	0.998
YGR143W	1.039
YGR144W	1.057
YGR146C	1.077
YGR146C-A	1.020
YGR148C	0.876
YGR149W	1.025
YGR150C	0.311
YGR151C	1.001
YGR152C	1.016
YGR153W	1.007
YGR154C	0.976
YGR155W	0.439
YGR157W	0.626
YGR161C	1.026
YGR161W-C	1.036
YGR162W	0.534
YGR163W	0.755
YGR164W	0.990
YGR165W	0.590
YGR166W	0.957
YGR168C	1.000
YGR169C	1.035
YGR169C-A	0.961
YGR170W	1.002
YGR171C	0.424
YGR173W	1.066
YGR174C	0.967
YGR176W	1.021
YGR177C	1.057
YGR178C	1.049
YGR181W	1.065
YGR182C	1.013
YGR183C	0.829
YGR184C	1.000
YGR187C	0.978
YGR188C	0.417
YGR189C	1.010
YGR192C	0.988
YGR193C	1.011
YGR194C	1.012
YGR196C	1.064
YGR197C	1.018
YGR199W	1.016
YGR200C	0.788
YGR201C	1.060
YGR202C	1.034
YGR203W	1.000
YGR204C-A	1.050
YGR204W	0.282
YGR205W	1.008
YGR206W	1.028
YGR207C	1.027
YGR208W	0.922
YGR209C	1.091
YGR210C	1.034
YGR212W	1.053
YGR213C	1.060
YGR214W	0.824
YGR215W	0.567
YGR217W	1.069
YGR220C	0.431
YGR221C	1.015
YGR222W	0.732
YGR223C	0.986
YGR224W	1.002
YGR225W	1.013
YGR226C	1.002
YGR227W	1.016
YGR228W	0.970
YGR229C	0.778
YGR230W	1.053
YGR231C	0.968
YGR232W	0.996
YGR233C	1.028
YGR234W	1.052
YGR235C	1.056
YGR236C	1.001
YGR237C	0.922
YGR238C	1.030
YGR239C	0.988
YGR240C	0.460
YGR240C-A	1.102
YGR241C	1.046
YGR242W	0.999
YGR243W	1.056
YGR244C	1.050
YGR247W	1.030
YGR248W	1.040
YGR249W	1.050
YGR250C	1.032
YGR254W	1.023
YGR255C	0.803
YGR256W	1.035
YGR257C	0.741
YGR258C	0.945
YGR259C	1.008
YGR260W	0.980
YGR261C	0.965
YGR262C	1.009
YGR263C	1.007
YGR266W	1.091
YGR268C	0.994
YGR269W	0.986
YGR270W	0.807
YGR271W	0.997
YGR273C	1.022
YGR275W	1.007
YGR276C	1.018
YGR279C	1.033
YGR281W	0.986
YGR282C	1.055
YGR283C	0.972
YGR284C	0.999
YGR285C	0.367
YGR286C	0.969
YGR287C	1.038
YGR288W	1.018
YGR289C	1.019
YGR290W	1.031
YGR291C	1.060
YGR292W	0.996
YGR294W	0.992
YGR296W	1.091
YHL001W	0.907
YHL002W	1.016
YHL003C	1.041
YHL004W	0.292
YHL006C	0.994
YHL008C	1.007
YHL009C	0.988
YHL010C	1.006
YHL012W	1.019
YHL013C	0.936
YHL014C	1.017
YHL015W-A	1.017
YHL016C	1.011
YHL017W	1.004
YHL019C	0.980
YHL020C	0.947
YHL021C	0.997
YHL022C	1.005
YHL023C	0.911
YHL024W	1.008
YHL025W	0.430
YHL026C	0.989
YHL027W	0.732
YHL028W	0.975
YHL029C	0.939
YHL030W	1.113
YHL032C	1.026
YHL033C	0.860
YHL034C	0.898
YHL035C	1.025
YHL036W	0.992
YHL037C	0.984
YHL038C	0.687
YHL039W	1.006
YHL040C	0.975
YHL041W	0.966
YHL042W	0.988
YHL043W	1.000
YHL044W	1.017
YHL045W	1.059
YHL046C	1.016
YHL047C	1.007
YHL048C-A	1.002
YHL048W	0.995
YHL050C	1.122
YHR001W-A	0.988
YHR002W	0.863
YHR003C	1.013
YHR004C	0.941
YHR006W	1.012
YHR007C-A	0.996
YHR008C	0.997
YHR009C	0.990
YHR011W	0.358
YHR012W	0.802
YHR013C	0.514
YHR014W	1.005
YHR015W	1.008
YHR016C	0.976
YHR017W	1.018
YHR021C	0.471
YHR021W-A	0.965
YHR022C	0.992
YHR022C-A	0.985
YHR028C	1.006
YHR029C	0.987
YHR030C	0.967
YHR031C	0.990
YHR032W	1.036
YHR033W	0.984
YHR034C	0.874
YHR035W	1.010
YHR037W	1.010
YHR038W	0.570
YHR039C	1.030
YHR039C-A	0.352
YHR041C	0.573
YHR043C	1.007
YHR044C	1.009
YHR045W	1.017
YHR046C	0.988
YHR047C	0.999
YHR048W	1.016
YHR049C-A	1.013
YHR049W	1.001
YHR050W	1.003
YHR050W-A	0.910
YHR051W	0.657
YHR055C	1.066
YHR057C	1.029
YHR059W	0.986
YHR060W	0.356
YHR061C	1.020
YHR063C	1.014
YHR064C	0.321
YHR066W	0.817
YHR067W	0.785
YHR071W	0.989
YHR073W	0.999
YHR075C	0.996
YHR076W	1.043
YHR077C	0.995
YHR078W	1.100
YHR079C	0.989
YHR079C-A	1.059
YHR079C-B	1.026
YHR080C	1.057
YHR081W	0.639
YHR082C	1.067
YHR086W	1.022
YHR086W-A	1.001
YHR087W	1.000
YHR089C	0.862
YHR091C	0.346
YHR092C	1.018
YHR093W	1.018
YHR094C	1.024
YHR095W	1.027
YHR096C	0.988
YHR097C	0.997
YHR099W	1.041
YHR100C	0.572
YHR103W	0.978
YHR104W	1.013
YHR105W	1.030
YHR106W	1.038
YHR108W	0.909
YHR109W	1.008
YHR110W	1.005
YHR111W	0.876
YHR112C	1.037
YHR113W	1.056
YHR114W	1.010
YHR116W	0.731
YHR117W	1.085
YHR119W	0.874
YHR120W	0.668
YHR121W	1.000
YHR123W	1.007
YHR124W	0.968
YHR125W	0.996
YHR126C	1.036
YHR127W	1.025
YHR128W	0.734
YHR129C	0.902
YHR130C	0.993
YHR131C	1.012
YHR132C	0.990
YHR132W-A	1.017
YHR133C	1.000
YHR134W	0.905
YHR135C	0.998
YHR136C	1.034
YHR137W	1.028
YHR138C	1.030
YHR139C	1.055
YHR139C-A	1.027
YHR140W	0.999
YHR141C	0.502
YHR142W	1.005
YHR143W	1.046
YHR144C	0.819
YHR146W	1.027
YHR147C	0.427
YHR150W	0.986
YHR151C	1.020
YHR152W	1.032
YHR153C	1.031
YHR154W	1.006
YHR155W	1.039
YHR156C	1.041
YHR157W	0.955
YHR158C	1.008
YHR159W	1.036
YHR160C	1.048
YHR161C	0.964
YHR162W	0.987
YHR163W	1.037
YHR165C	1.002
YHR167W	0.994
YHR168W	0.662
YHR171W	0.946
YHR175W-A	1.077
YHR176W	1.014
YHR177W	0.985
YHR178W	0.789
YHR179W	1.039
YHR180W	0.988
YHR181W	1.005
YHR182W	1.015
YHR183W	0.314
YHR184W	0.984
YHR185C	0.995
YHR187W	0.759
YHR189W	0.858
YHR191C	0.883
YHR192W	1.098
YHR193C	0.959
YHR194W	0.462
YHR195W	1.024
YHR198C	0.972
YHR199C	1.021
YHR199C-A	0.998
YHR200W	0.933
YHR201C	1.007
YHR202W	1.013
YHR203C	0.715
YHR204W	1.017
YHR206W	0.962
YHR207C	1.037
YHR208W	0.794
YHR209W	1.028
YHR210C	1.011
YHR211W	1.064
YHR212W-A	1.064
YHR213W	1.040
YHR213W-A	1.060
YHR213W-B	1.051
YHR214C-D	0.984
YHR214C-E	1.103
YHR215W	0.981
YHR216W	1.029
YHR218W	1.035
YHR219W	1.023
YIL001W	1.019
YIL002C	0.989
YIL002W-A	0.989
YIL005W	0.990
YIL007C	1.004
YIL008W	0.828
YIL009C-A	1.035
YIL009W	1.090
YIL010W	1.012
YIL011W	1.037
YIL012W	1.038
YIL013C	1.016
YIL014C-A	0.993
YIL014W	1.020
YIL015C-A	0.974
YIL015W	0.990
YIL016W	1.030
YIL017C	0.985
YIL018W	0.383
YIL023C	1.051
YIL024C	0.994
YIL025C	1.037
YIL027C	0.999
YIL028W	0.974
YIL029C	1.051
YIL030C	1.044
YIL032C	1.002
YIL033C	0.948
YIL034C	1.004
YIL035C	0.970
YIL036W	0.977
YIL037C	1.020
YIL038C	0.868
YIL039W	0.986
YIL040W	0.845
YIL041W	1.005
YIL042C	1.021
YIL043C	1.031
YIL044C	0.933
YIL045W	0.983
YIL046W-A	1.028
YIL047C	0.998
YIL050W	0.965
YIL052C	0.893
YIL053W	0.967
YIL054W	1.016
YIL055C	1.018
YIL056W	0.999
YIL057C	1.054
YIL058W	0.974
YIL059C	1.006
YIL060W	0.639
YIL064W	0.940
YIL065C	0.891
YIL066C	1.004
YIL067C	1.044
YIL069C	0.871
YIL070C	0.876
YIL071C	1.040
YIL072W	1.035
YIL073C	0.978
YIL074C	1.024
YIL076W	0.634
YIL077C	0.966
YIL079C	0.981
YIL080W	1.007
YIL084C	0.866
YIL085C	1.022
YIL086C	0.968
YIL087C	1.050
YIL088C	1.029
YIL089W	1.021
YIL090W	0.533
YIL092W	1.003
YIL093C	0.562
YIL095W	1.071
YIL096C	1.050
YIL097W	1.011
YIL098C	0.857
YIL099W	1.016
YIL100W	1.018
YIL101C	0.997
YIL102C	0.989
YIL103W	0.982
YIL105C	1.041
YIL107C	1.013
YIL108W	1.014
YIL110W	0.624
YIL111W	1.035
YIL112W	0.954
YIL113W	1.039
YIL114C	1.034
YIL117C	1.024
YIL119C	1.067
YIL120W	1.077
YIL121W	0.990
YIL122W	0.922
YIL123W	1.012
YIL124W	1.036
YIL127C	0.993
YIL128W	0.520
YIL130W	1.078
YIL131C	0.994
YIL132C	1.000
YIL133C	0.930
YIL134C-A	1.025
YIL134W	0.703
YIL135C	1.039
YIL136W	1.060
YIL137C	1.011
YIL138C	1.036
YIL139C	1.038
YIL140W	1.020
YIL141W	1.029
YIL145C	0.988
YIL146C	1.022
YIL148W	0.748
YIL149C	0.999
YIL151C	0.964
YIL152W	1.034
YIL153W	0.892
YIL154C	0.928
YIL155C	1.036
YIL156W	1.014
YIL157C	0.724
YIL158W	1.006
YIL159W	1.004
YIL160C	1.037
YIL161W	1.025
YIL162W	1.042
YIL163C	1.032
YIL164C	1.000
YIL165C	1.058
YIL166C	0.982
YIL167W	0.999
YIL168W	0.985
YIL169C	1.004
YIL170W	1.027
YIL172C	1.026
YIL173W	1.016
YIL174W	1.137
YIL175W	0.996
YIL176C	0.996
YIR001C	1.013
YIR002C	0.957
YIR003W	1.031
YIR005W	0.825
YIR007W	0.987
YIR009W	0.367
YIR013C	0.998
YIR014W	0.979
YIR016W	0.975
YIR017C	1.022
YIR018C-A	1.020
YIR018W	1.049
YIR019C	0.968
YIR020C	1.047
YIR020W-B	1.015
YIR021W	0.677
YIR021W-A	0.998
YIR023W	0.530
YIR024C	0.993
YIR025W	0.984
YIR026C	0.437
YIR027C	0.988
YIR028W	1.006
YIR029W	1.043
YIR030C	1.032
YIR031C	1.010
YIR032C	1.031
YIR033W	0.853
YIR035C	1.025
YIR036C	1.004
YIR037W	1.022
YIR038C	1.030
YIR039C	1.024
YIR041W	1.009
YIR042C	1.030
YIR043C	1.044
YJL003W	0.689
YJL004C	0.964
YJL007C	1.017
YJL012C	1.018
YJL013C	0.954
YJL016W	1.029
YJL017W	1.079
YJL020C	1.022
YJL021C	1.000
YJL022W	1.003
YJL024C	0.962
YJL027C	1.045
YJL028W	1.044
YJL030W	1.046
YJL036W	0.897
YJL037W	1.048
YJL038C	1.018
YJL042W	0.986
YJL043W	1.005
YJL044C	1.000
YJL045W	1.025
YJL046W	0.816
YJL047C	0.971
YJL047C-A	0.965
YJL048C	0.998
YJL049W	1.005
YJL051W	1.064
YJL052C-A	1.020
YJL052W	1.046
YJL053W	0.875
YJL055W	1.069
YJL056C	0.376
YJL057C	1.039
YJL058C	1.069
YJL059W	1.016
YJL060W	1.016
YJL062W	1.097
YJL062W-A	0.690
YJL063C	0.637
YJL064W	0.985
YJL065C	0.988
YJL066C	1.046
YJL067W	1.060
YJL068C	0.996
YJL070C	1.056
YJL073W	1.021
YJL077C	1.024
YJL078C	0.956
YJL079C	1.015
YJL082W	1.035
YJL083W	1.036
YJL084C	1.029
YJL089W	1.022
YJL092W	1.009
YJL093C	0.985
YJL094C	1.018
YJL095W	0.985
YJL096W	0.538
YJL098W	1.031
YJL099W	1.025
YJL100W	1.035
YJL101C	0.788
YJL102W	0.438
YJL103C	1.020
YJL105W	1.027
YJL106W	1.014
YJL107C	0.997
YJL108C	1.043
YJL110C	1.020
YJL112W	1.004
YJL115W	0.735
YJL116C	1.016
YJL117W	0.967
YJL118W	1.004
YJL119C	0.989
YJL120W	0.887
YJL121C	0.892
YJL122W	0.990
YJL123C	1.013
YJL124C	0.954
YJL126W	1.027
YJL127C-B	1.032
YJL128C	0.978
YJL130C	1.024
YJL131C	0.781
YJL132W	1.040
YJL133C-A	0.824
YJL133W	1.042
YJL134W	1.011
YJL135W	0.999
YJL136C	0.848
YJL136W-A	1.032
YJL137C	1.019
YJL138C	0.870
YJL139C	0.988
YJL141C	1.020
YJL142C	1.028
YJL144W	1.065
YJL145W	0.981
YJL146W	1.013
YJL147C	0.910
YJL148W	0.798
YJL149W	0.981
YJL150W	0.993
YJL151C	0.973
YJL152W	0.985
YJL153C	1.004
YJL154C	0.808
YJL155C	1.066
YJL158C	1.000
YJL159W	1.080
YJL160C	1.036
YJL161W	1.069
YJL162C	1.037
YJL163C	1.008
YJL164C	0.931
YJL165C	0.917
YJL166W	0.745
YJL168C	0.924
YJL169W	1.014
YJL170C	1.036
YJL171C	1.022
YJL172W	1.015
YJL177W	0.877
YJL178C	1.021
YJL180C	0.689
YJL181W	1.042
YJL182C	0.978
YJL183W	0.979
YJL185C	0.992
YJL186W	1.017
YJL187C	1.031
YJL188C	1.051
YJL190C	0.715
YJL191W	1.045
YJL192C	1.021
YJL193W	1.009
YJL196C	0.997
YJL197W	0.994
YJL198W	1.020
YJL199C	1.012
YJL200C	0.237
YJL201W	1.025
YJL205C	1.037
YJL206C	0.966
YJL206C-A	0.983
YJL208C	1.009
YJL209W	0.773
YJL210W	0.871
YJL211C	0.858
YJL212C	1.020
YJL213W	1.000
YJL214W	1.036
YJL215C	1.017
YJL216C	1.014
YJL217W	1.006
YJL218W	1.017
YJL219W	0.948
YJL221C	1.007
YJL222W	0.985
YJL223C	1.048
YJL225C	1.029
YJR001W	1.007
YJR003C	1.021
YJR004C	1.037
YJR005C-A	1.052
YJR005W	0.978
YJR008W	1.040
YJR009C	1.045
YJR010C-A	1.040
YJR010W	1.047
YJR011C	1.001
YJR014W	0.963
YJR015W	1.034
YJR019C	1.036
YJR020W	0.964
YJR021C	1.017
YJR024C	1.084
YJR025C	0.968
YJR030C	0.966
YJR031C	0.990
YJR032W	0.654
YJR033C	0.951
YJR034W	0.751
YJR035W	0.997
YJR036C	1.054
YJR037W	1.066
YJR038C	1.040
YJR039W	1.007
YJR040W	0.967
YJR043C	0.912
YJR044C	0.938
YJR047C	1.046
YJR048W	1.000
YJR049C	0.752
YJR050W	0.998
YJR051W	1.049
YJR052W	1.028
YJR053W	0.980
YJR054W	0.841
YJR056C	0.995
YJR058C	0.992
YJR059W	0.886
YJR060W	0.971
YJR061W	1.013
YJR062C	0.992
YJR066W	0.996
YJR069C	0.980
YJR070C	0.926
YJR073C	0.734
YJR074W	0.863
YJR075W	0.992
YJR077C	1.018
YJR078W	1.004
YJR079W	0.986
YJR080C	1.011
YJR082C	0.938
YJR083C	0.998
YJR084W	0.809
YJR085C	0.999
YJR087W	0.889
YJR088C	0.992
YJR090C	0.204
YJR091C	1.010
YJR092W	1.002
YJR094C	1.032
YJR094W-A	0.939
YJR095W	1.004
YJR096W	1.012
YJR097W	0.999
YJR098C	1.047
YJR099W	1.048
YJR100C	1.054
YJR102C	0.295
YJR103W	1.001
YJR104C	0.076
YJR105W	0.467
YJR106W	1.026
YJR107W	1.006
YJR108W	0.990
YJR110W	1.042
YJR111C	1.064
YJR112W-A	0.995
YJR113C	0.593
YJR115W	1.030
YJR116W	1.046
YJR117W	1.011
YJR118C	0.593
YJR119C	1.017
YJR120W	0.941
YJR121W	0.551
YJR122W	1.021
YJR124C	1.017
YJR125C	0.988
YJR126C	0.955
YJR127C	1.021
YJR128W	1.000
YJR129C	1.031
YJR130C	1.016
YJR131W	0.991
YJR132W	0.572
YJR133W	1.007
YJR134C	0.984
YJR135C	1.065
YJR135W-A	1.005
YJR137C	0.992
YJR138W	0.887
YJR139C	0.732
YJR140C	1.015
YJR142W	1.022
YJR143C	1.006
YJR144W	0.513
YJR145C	0.636
YJR146W	0.997
YJR147W	1.069
YJR149W	1.001
YJR150C	1.010
YJR151C	0.980
YJR151W-A	1.024
YJR152W	1.040
YJR153W	1.050
YJR154W	1.024
YJR155W	1.114
YJR158W	1.037
YJR159W	1.049
YJR160C	0.980
YKL001C	1.036
YKL002W	0.547
YKL003C	0.477
YKL005C	1.006
YKL006W	0.603
YKL007W	1.002
YKL008C	1.038
YKL009W	0.700
YKL010C	0.991
YKL011C	0.851
YKL015W	1.029
YKL016C	0.542
YKL017C	1.039
YKL018C-A	1.129
YKL020C	1.035
YKL023W	0.962
YKL025C	1.065
YKL026C	1.046
YKL027W	0.994
YKL029C	1.012
YKL030W	1.067
YKL031W	1.028
YKL032C	0.754
YKL033W-A	1.043
YKL034W	1.023
YKL037W	0.682
YKL038W	0.996
YKL039W	1.011
YKL040C	0.955
YKL041W	0.643
YKL043W	0.995
YKL044W	1.034
YKL046C	1.006
YKL047W	1.051
YKL048C	0.866
YKL050C	1.038
YKL051W	0.999
YKL053C-A	0.879
YKL055C	0.762
YKL056C	0.883
YKL057C	0.855
YKL061W	1.057
YKL062W	1.058
YKL063C	1.016
YKL064W	1.019
YKL065C	0.992
YKL066W	0.999
YKL067W	1.002
YKL068W	0.980
YKL068W-A	1.006
YKL069W	0.775
YKL070W	1.012
YKL071W	1.063
YKL072W	1.039
YKL073W	1.008
YKL074C	0.917
YKL075C	0.911
YKL076C	0.929
YKL077W	1.036
YKL079W	1.053
YKL080W	0.385
YKL081W	0.780
YKL084W	1.053
YKL085W	1.021
YKL086W	1.031
YKL087C	0.928
YKL090W	0.997
YKL091C	1.034
YKL092C	1.021
YKL093W	0.993
YKL094W	1.041
YKL096C-B	1.056
YKL096W	1.041
YKL096W-A	1.054
YKL097C	1.051
YKL098W	1.017
YKL100C	1.035
YKL101W	1.027
YKL102C	1.004
YKL103C	1.048
YKL105C	1.035
YKL106C-A	0.997
YKL106W	0.946
YKL107W	1.015
YKL109W	0.863
YKL110C	0.836
YKL113C	0.811
YKL114C	1.054
YKL115C	1.001
YKL116C	1.015
YKL117W	1.028
YKL119C	0.389
YKL120W	1.039
YKL121W	1.006
YKL123W	1.002
YKL124W	1.008
YKL127W	0.988
YKL128C	1.007
YKL129C	1.069
YKL130C	1.019
YKL131W	1.020
YKL132C	1.041
YKL133C	0.981
YKL134C	0.634
YKL135C	0.917
YKL136W	0.978
YKL137W	0.933
YKL138C	0.513
YKL140W	1.061
YKL142W	1.025
YKL146W	1.057
YKL147C	1.031
YKL148C	0.967
YKL149C	0.935
YKL150W	1.027
YKL151C	1.049
YKL155C	0.471
YKL156W	0.961
YKL157W	0.999
YKL158W	1.014
YKL159C	1.036
YKL160W	0.957
YKL161C	1.071
YKL162C	1.003
YKL163W	1.008
YKL164C	1.002
YKL166C	0.979
YKL167C	0.923
YKL168C	1.047
YKL170W	0.567
YKL171W	0.971
YKL174C	1.012
YKL175W	0.984
YKL176C	0.852
YKL177W	0.998
YKL178C	1.045
YKL179C	0.845
YKL181W	0.380
YKL183C-A	1.005
YKL183W	1.033
YKL184W	0.560
YKL185W	1.062
YKL187C	1.048
YKL188C	1.015
YKL190W	0.984
YKL191W	0.961
YKL194C	0.495
YKL197C	0.872
YKL198C	1.020
YKL199C	1.060
YKL200C	1.063
YKL201C	1.076
YKL202W	1.023
YKL205W	0.989
YKL206C	0.993
YKL207W	1.042
YKL208W	0.765
YKL209C	0.980
YKL211C	0.981
YKL212W	0.540
YKL213C	0.830
YKL214C	1.033
YKL215C	0.991
YKL216W	0.965
YKL217W	1.027
YKL218C	1.051
YKL220C	1.009
YKL221W	1.001
YKL222C	1.001
YKL224C	1.045
YKR003W	1.021
YKR005C	1.023
YKR006C	0.430
YKR007W	0.760
YKR009C	1.013
YKR010C	1.054
YKR011C	1.059
YKR012C	1.054
YKR013W	1.040
YKR014C	1.022
YKR015C	1.035
YKR016W	0.956
YKR017C	1.029
YKR018C	1.028
YKR019C	0.923
YKR020W	0.739
YKR021W	1.057
YKR023W	0.996
YKR024C	0.964
YKR026C	1.000
YKR027W	0.954
YKR028W	1.013
YKR029C	0.992
YKR030W	1.004
YKR031C	1.028
YKR032W	1.007
YKR033C	0.995
YKR034W	1.062
YKR035C	0.895
YKR035W-A	0.986
YKR036C	1.016
YKR039W	1.057
YKR040C	0.990
YKR041W	1.039
YKR042W	0.887
YKR043C	1.085
YKR044W	1.015
YKR045C	1.014
YKR046C	1.077
YKR047W	1.052
YKR048C	1.079
YKR049C	1.017
YKR050W	1.025
YKR051W	0.930
YKR052C	1.028
YKR053C	1.022
YKR054C	0.944
YKR055W	1.009
YKR056W	1.009
YKR057W	0.791
YKR058W	1.008
YKR059W	0.904
YKR060W	0.994
YKR061W	1.024
YKR064W	1.010
YKR065C	0.916
YKR066C	1.032
YKR067W	1.041
YKR069W	1.016
YKR070W	1.037
YKR072C	0.918
YKR074W	0.923
YKR075C	1.048
YKR076W	1.031
YKR077W	1.041
YKR078W	1.005
YKR080W	1.019
YKR082W	0.788
YKR084C	0.953
YKR085C	0.465
YKR087C	1.036
YKR088C	1.043
YKR089C	1.005
YKR090W	1.025
YKR091W	1.019
YKR092C	0.848
YKR093W	1.000
YKR094C	0.811
YKR095W	1.054
YKR096W	1.030
YKR097W	0.993
YKR098C	1.014
YKR099W	0.833
YKR100C	1.020
YKR101W	0.892
YKR102W	1.025
YKR103W	1.022
YKR104W	1.001
YKR105C	1.036
YKR106W	1.031
YLL001W	0.981
YLL002W	0.805
