ORF	Rnr3 abundance;Untreated conditions	Rnr3 abundance;YPD, 0.03% MMS
YJL065C	-0.038	0.310
YIL017C	-0.038	-0.197
YGR045C	-0.038	-0.048
YNR002C	-0.038	0.122
YBL050W	-0.038	-0.076
YOR164C	-0.038	-0.086
YDL129W	-0.038	-0.213
YDL172C	-0.038	0.174
YHR007C	-0.038	-0.352
YIL041W	-0.039	0.002
YLL024C	-0.039	-0.035
YER079W	-0.039	-0.066
YNL032W	-0.039	0.231
YJL148W	-0.039	-0.270
YNR027W	-0.039	-0.053
YJL206C-A	-0.039	-0.037
YGL004C	-0.039	-0.251
YIR038C	-0.039	-0.356
YLL061W	-0.039	-0.073
YDR393W	-0.039	-0.151
YOL121C	-0.039	0.004
YBR130C	-0.039	-0.134
YIL059C	-0.039	0.107
YBL010C	-0.039	0.064
YLR100W	-0.039	0.705
YDL231C	-0.039	0.176
YGR086C	-0.039	-0.240
YHR108W	-0.039	-0.161
YJR066W	-0.039	-0.072
YKL151C	-0.040	0.104
YER023W	-0.040	-0.259
YPL192C	-0.040	-0.216
YGR019W	-0.040	-0.012
YFL054C	-0.040	-0.036
YGR146C	-0.040	-0.111
YFR012W	-0.040	0.151
YHL016C	-0.040	-0.218
YIL141W	-0.040	-0.109
YMR173W	-0.040	-0.173
YDL037C	-0.040	-0.032
YOR004W	-0.040	-0.054
YHR203C	-0.040	0.032
YJR040W	-0.040	-0.150
YCR083W	-0.040	-0.402
YNL323W	-0.041	-0.139
YGR018C	-0.041	0.081
YMR236W	-0.041	0.150
YLR078C	-0.041	-0.838
YEL048C	-0.041	-0.080
YIL138C	-0.041	-0.152
YPL115C	-0.041	-0.115
YJR014W	-0.041	0.208
YGL263W	-0.041	-0.201
YGL086W	-0.041	-0.280
YDL079C	-0.041	-0.291
YKR057W	-0.041	-0.030
YGR153W	-0.041	0.025
YBL075C	-0.041	-0.169
YBR197C	-0.041	-0.074
YGL082W	-0.041	0.031
YDR400W	-0.041	0.181
YDR287W	-0.041	-0.088
YPR148C	-0.041	-0.310
YHR156C	-0.041	0.064
YLR228C	-0.041	-0.186
YML055W	-0.041	-0.092
YFR013W	-0.041	-0.008
YKR078W	-0.041	-0.058
YOR172W	-0.041	-0.093
YGR152C	-0.042	-0.090
YMR258C	-0.042	-0.140
YMR162C	-0.042	-0.294
YPR007C	-0.042	-0.200
YPL162C	-0.042	0.165
YNL115C	-0.042	0.248
YHR127W	-0.042	-0.211
YFL055W	-0.042	0.590
YLR352W	-0.042	-0.148
YNL045W	-0.042	0.282
YKL198C	-0.042	-0.130
YJL196C	-0.042	0.040
YDR289C	-0.042	0.194
YBL032W	-0.042	0.134
YLR026C	-0.042	0.036
YAL019W	-0.042	-0.021
YNL098C	-0.042	-0.045
YPL001W	-0.042	-0.009
YFR057W	-0.042	-0.245
YPL164C	-0.042	0.013
YDR161W	-0.042	-0.241
YPR033C	-0.042	0.078
YDL176W	-0.042	-0.052
YGL158W	-0.042	-0.221
YLR449W	-0.043	-0.109
YLL052C	-0.043	-0.074
YKL084W	-0.043	-0.259
YGL140C	-0.043	-0.226
YDR188W	-0.043	-0.160
YNL175C	-0.043	-0.205
YIL162W	-0.043	-0.389
YLL021W	-0.043	-0.155
YIL123W	-0.043	-0.299
YDL175C	-0.043	0.130
YNL159C	-0.043	-0.137
YMR235C	-0.049	0.130
YNL253W	-0.043	0.361
YFR039C	-0.043	-0.167
YNR005C	-0.043	0.331
YJL181W	-0.043	-0.195
YBL098W	-0.043	-0.065
YFR015C	-0.043	-0.149
YIL163C	-0.043	-0.158
YLL038C	-0.043	-0.030
YOL016C	-0.044	0.133
YPR115W	-0.044	-0.029
YMR076C	-0.044	1.416
YDR062W	-0.076	0.662
YLL048C	-0.044	-0.188
YDR163W	-0.044	-0.130
YLR123C	-0.044	-0.089
YBR042C	-0.044	-0.089
YDL180W	-0.044	-0.078
YPR039W	-0.044	-0.103
YOR321W	-0.044	0.096
YGR118W	-0.044	-0.148
YOR124C	-0.044	-0.372
YJL188C	-0.044	-0.033
YGL132W	-0.044	-0.102
YDL099W	-0.044	-0.262
YIL065C	-0.044	-0.066
YHL017W	-0.044	0.031
YDR317W	-0.044	-0.143
YKL130C	-0.044	-0.149
YDR536W	-0.044	0.008
YFR049W	-0.044	-0.114
YPL021W	-0.044	-0.094
YLR021W	-0.044	-0.376
YHR048W	-0.044	-0.114
YIL101C	-0.044	-0.322
YMR067C	-0.045	-0.160
YDR086C	-0.045	-0.416
YOR043W	-0.045	0.063
YJR084W	-0.045	-0.163
YKL215C	-0.045	-0.178
YGL174W	-0.045	0.147
YOL042W	-0.045	0.168
YKL034W	-0.045	0.015
YFR007W	-0.045	-0.012
YIR023W	-0.045	0.282
YLR392C	-0.045	-0.097
YML041C	-0.045	0.398
YLR433C	-0.045	-0.176
YLR289W	-0.045	0.116
YHR210C	-0.045	-0.245
YOR339C	-0.045	0.022
YJR080C	-0.045	-0.072
YIL074C	-0.045	-0.028
YEL010W	-0.045	-0.184
YER173W	-0.045	-0.957
YPR114W	-0.045	-0.076
YDR460W	-0.045	0.164
YER067C-A	-0.045	-0.040
YDR153C	-0.045	-0.207
YHL025W	-0.046	-0.837
YMR002W	-0.046	-0.066
YJR111C	-0.046	-0.144
YML046W	-0.046	-0.388
YNL338W	-0.046	0.076
YGR040W	-0.046	-0.163
YOR263C	-0.046	-0.052
YDR291W	-0.046	0.042
YGR015C	-0.046	-0.350
YPL116W	-0.046	-0.207
YMR244W	-0.046	-0.197
YMR306W	-0.046	-0.024
YFR054C	-0.046	-0.150
YML101C	-0.046	-0.118
YDR501W	-0.046	-0.205
YOR308C	-0.046	0.066
YGL151W	-0.046	0.020
YIL111W	-0.046	-0.248
YGR283C	-0.046	-0.240
YLR262C-A	-0.046	-0.014
YOR315W	-0.046	0.090
YJR133W	-0.046	-0.072
YKR023W	-0.046	0.022
YKL022C	-0.046	-0.179
YDR202C	-0.047	0.141
YNL285W	-0.047	-0.031
YDR357C	-0.047	0.004
YMR320W	-0.047	0.184
YNR015W	-0.047	0.264
YDR401W	-0.047	-0.109
YOR342C	-0.047	-0.169
YLR107W	-0.047	-0.076
YFR043C	-0.047	-0.217
YDL208W	-0.047	-0.069
YPL240C	-0.047	-0.059
YPL019C	-0.047	0.753
YOR280C	-0.047	-0.066
YLL053C	-0.047	-0.079
YLR450W	-0.047	-0.175
YNL030W	-0.047	-0.149
YGR054W	-0.047	0.066
YMR200W	-0.047	-0.186
YKR046C	-0.047	0.162
YOR051C	-0.047	0.032
YPR073C	-0.048	0.120
YDR246W	-0.048	0.080
YMR034C	-0.048	-0.677
YLL016W	-0.048	-0.196
YDR307W	-0.048	-0.131
YIL044C	-0.048	0.010
YNL219C	-0.048	0.139
YNL216W	-0.132	1.317
YBR056W	-0.048	-0.140
YOL013C	-0.048	-0.035
YDR275W	-0.048	-0.058
YCL036W	-0.048	0.142
YML035C-A	-0.048	-0.079
YNL228W	-0.048	-0.130
YJR062C	-0.048	-0.065
YPL177C	-0.048	-0.059
YCL059C	-0.051	0.124
YKL196C	-0.048	0.123
YGL001C	-0.048	0.075
YDR280W	-0.048	0.075
YJR053W	-0.048	-0.175
YPL088W	-0.048	-0.204
YOL159C	-0.048	-0.243
YNR003C	-0.048	0.479
YPR084W	-0.048	0.029
YOR377W	-0.048	-0.147
YJR116W	-0.049	-0.005
YGR143W	-0.049	-0.231
YGR247W	-0.049	-0.130
YIL001W	-0.049	-0.263
YDR304C	-0.049	-0.171
YDL137W	-0.049	-0.254
YCR043C	-0.049	0.036
YKL086W	-0.049	-0.140
YDL071C	-0.049	0.236
YDR077W	-0.049	-0.222
YCR048W	-0.049	-0.057
YDR169C	-0.049	-0.078
YIL098C	-0.049	-0.115
YBL029W	-0.049	-0.272
YGR087C	-0.049	-0.231
YFR032C	-0.049	-0.125
YJL024C	-0.049	-0.120
YER152C	-0.050	-0.213
YOL088C	-0.050	0.286
YOR317W	-0.050	0.007
YPL138C	-0.050	-0.074
YML049C	-0.050	0.175
YDR481C	-0.050	0.250
YCR106W	-0.050	-0.033
YPR149W	-0.050	-0.133
YEL067C	-0.050	-0.176
YOR052C	-0.050	0.292
YBR020W	-0.050	-0.080
YGR079W	-0.050	0.034
YPR155C	-0.050	0.058
YLR036C	-0.050	-0.067
YMR175W	-0.050	-0.185
YPL008W	-0.050	1.158
YMR041C	-0.050	-0.235
YDR029W	-0.050	0.095
YNL004W	-0.050	-0.223
YNR059W	-0.050	-0.175
YLR118C	-0.050	-0.201
YKR044W	-0.050	-0.201
YMR226C	-0.050	-0.094
YGR156W	-0.158	-0.380
YKL127W	-0.050	-0.265
YNL207W	-0.051	0.039
YPL068C	-0.051	-0.077
YDR095C	-0.051	-0.106
YFL035C-B	-0.051	-0.070
YDR463W	-0.051	-0.188
YDR198C	-0.051	0.047
YMR022W	-0.051	0.024
YFR041C	-0.051	-0.245
YMR176W	-0.051	-0.148
YDL019C	-0.051	-0.095
YHR157W	-0.051	0.081
YMR033W	-0.051	0.552
YNL299W	-0.051	-0.104
YDR054C	-0.090	0.150
YER003C	-0.051	-0.504
YMR222C	-0.051	0.056
YHR209W	-0.051	-0.162
YMR318C	-0.051	-0.028
YDR282C	-0.051	-0.044
YFR009W	-0.051	0.023
YPL206C	-0.051	-0.170
YML013W	-0.051	-0.038
YMR065W	-0.051	-0.354
YEL012W	-0.052	-0.128
YMR264W	-0.052	-0.140
YJR125C	-0.052	-0.122
YPL113C	-0.052	-0.139
YNL335W	-0.052	-0.107
YLL046C	-0.052	-0.160
YIL097W	-0.052	-0.300
YPL187W	-0.052	-0.090
YHR140W	-0.052	-0.042
YJL160C	-0.052	-0.067
YPL072W	-0.052	-0.092
YPL026C	-0.052	0.077
YGR075C	-0.053	-0.174
YIL113W	-0.053	-0.183
YGL090W	-0.053	-0.237
YMR172C-A	-0.053	-0.179
YIL085C	-0.053	0.120
YMR174C	-0.053	-0.083
YMR259C	-0.053	-0.101
YIL015C-A	-0.053	-0.271
YIR009W	-0.053	0.048
YLR193C	-0.053	0.169
YGL031C	-0.053	-0.116
YMR169C	-0.053	-0.015
YJL149W	-0.053	-0.355
YOR366W	-0.053	-0.101
YNL324W	-0.053	-0.151
YBL106C	-0.053	-0.021
YOR364W	-0.053	-0.019
YLR154C	-0.053	0.042
YLR004C	-0.054	-0.066
YMR105C	-0.054	-0.061
YKL114C	-0.054	0.161
YPR147C	-0.054	-0.242
YLR018C	-0.054	-0.188
YJR097W	-0.054	0.119
YHL013C	-0.054	-0.238
YML005W	-0.054	-0.155
YLR113W	-0.054	0.097
YNL287W	-0.054	-0.134
YML122C	-0.054	0.515
YLR341W	-0.054	-0.110
YEL008W	-0.055	-0.227
YML076C	-0.055	0.090
YOR091W	-0.055	-0.219
YBL003C	-0.055	-0.058
YGL149W	-0.055	-0.371
YCL035C	-0.055	-0.010
YHR135C	-0.055	-0.276
YGR033C	-0.055	0.035
YKR019C	-0.055	-0.135
YDR022C	-0.055	-0.211
YNL023C	-0.055	0.033
YIL042C	-0.055	-0.025
YOR011W	-0.055	-0.205
YBR298C	-0.055	-0.219
YIL155C	-0.055	-0.042
YJL116C	-0.055	-0.165
YJR039W	-0.055	-0.004
YKL157W	-0.055	0.956
YKL201C	-0.055	-0.172
YKL191W	-0.055	-0.044
YPR098C	-0.056	0.078
YDR181C	-0.056	-0.382
YNL049C	-0.056	-0.161
YIL120W	-0.056	-0.376
YMR289W	-0.056	-0.007
YER130C	-0.056	-0.049
YML020W	-0.056	0.131
YLR310C	-0.166	-0.545
YLR091W	-0.056	-0.315
YJR134C	-0.056	-0.147
YPR198W	-0.056	-0.147
YIL147C	-0.056	-0.312
YBR019C	-0.056	-0.231
YDL109C	-0.057	-0.052
YKL073W	-0.057	0.013
YMR043W	-0.057	-0.240
YLR394W	-0.057	0.007
YCR085W	-0.057	-0.053
YBR072W	-0.057	0.250
YMR316W	-0.057	-0.017
YKL075C	-0.057	-0.035
YPL219W	-0.057	-0.060
YLR265C	-0.057	-0.065
YHR196W	-0.057	-0.081
YEL001C	-0.057	-0.193
YER039C-A	-0.057	-0.015
YNL333W	-0.057	-0.066
YMR058W	-0.057	0.000
YIR029W	-0.057	-0.272
YNR075W	-0.057	-0.044
YHR032W	-0.058	0.026
YPL054W	-0.058	-0.051
YNL316C	-0.058	-0.091
YMR101C	-0.058	-0.120
YKL046C	-0.058	-0.165
YIL048W	-0.058	-0.215
YBR217W	-0.058	-0.003
YJR048W	-0.058	-0.262
YKR058W	-0.058	0.277
YMR138W	-0.058	0.069
YKL168C	-0.058	0.034
YAL029C	-0.058	-0.147
YMR304W	-0.058	0.023
YGL179C	-0.058	-0.075
YDL106C	-0.058	0.112
YPL184C	-0.058	-0.236
YKL221W	-0.058	-0.035
YLR137W	-0.058	-0.237
YKL067W	-0.058	0.106
YDR241W	-0.058	-0.016
YML118W	-0.059	0.069
YJL092W	-0.059	0.691
YLR443W	-0.059	0.007
YLR168C	-0.059	-0.073
YBR013C	-0.059	0.022
YLR431C	-0.059	-0.196
YIL035C	-0.059	-0.158
YMR178W	-0.059	-0.038
YOR108W	-0.059	0.012
YKR017C	-0.059	-0.156
YOR386W	-0.059	-0.261
YNL266W	-0.059	-0.101
YAL064C-A	-0.059	-0.149
YBR210W	-0.059	0.000
YBL096C	-0.059	-0.087
YOR306C	-0.059	-0.046
YGL036W	-0.059	-0.145
YAL068C	-0.059	-0.207
YNL327W	-0.060	-0.101
YGR241C	-0.060	-0.216
YBR193C	-0.156	-0.178
YIL046W	-0.267	-0.222
YDL128W	-0.060	-0.052
YDR011W	-0.060	-0.093
YPR173C	-0.060	NaN
YGL175C	-0.060	1.315
YPL232W	-0.060	-0.152
YOR054C	-0.060	0.002
YGL230C	-0.060	0.001
YGL258W	-0.060	-0.180
YFR031C	-0.060	-0.696
YDR212W	-0.114	0.359
YJR073C	-0.060	-0.238
YLR312C	-0.060	0.276
YDL124W	-0.060	-0.009
YBR262C	-0.060	-0.180
YOL111C	-0.060	0.037
YDR214W	-0.060	-0.077
YER135C	-0.061	-0.064
YDL134C-A	-0.061	-0.117
YIL036W	-0.061	-0.133
YDL112W	-0.061	-0.121
YKL068W	-0.061	-0.005
YOR385W	-0.061	-0.124
YKR005C	-0.061	-0.382
YDL096C	-0.061	-0.286
YJL106W	-0.061	0.105
YOR296W	-0.061	-0.005
YER089C	-0.061	0.617
YLR006C	-0.062	0.994
YDL148C	-0.062	-0.212
YKL179C	-0.062	-0.058
YOL104C	-0.062	0.073
YOL048C	-0.062	-0.159
YDL177C	-0.062	-0.095
YGR287C	-0.062	-0.113
YBR228W	-0.062	-0.109
YHR131C	-0.062	-0.162
YDL193W	-0.062	-0.298
YOL084W	-0.062	0.062
YPR015C	-0.062	-0.067
YGL260W	-0.062	-0.200
YOL061W	-0.062	-0.150
YMR156C	-0.062	-0.298
YLR374C	-0.063	0.194
YGR255C	-0.063	-0.004
YMR087W	-0.063	-0.119
YOL128C	-0.063	0.259
YIL030C	-0.063	-0.270
YPL224C	-0.063	-0.140
YJR092W	-0.063	-0.152
YIL029C	-0.063	-0.108
YNR073C	-0.063	-0.214
YOR344C	-0.063	-0.050
YJL207C	-0.063	-0.122
YJR139C	-0.063	-0.162
YIL071C	-0.063	-0.190
YGR210C	-0.063	-0.156
YJR064W	-0.063	-0.159
YJL084C	-0.063	0.267
YGR061C	-0.063	0.185
YER186C	-0.063	-0.138
YIR030C	-0.063	-0.233
YMR135W-A	-0.064	-0.080
YNL255C	-0.064	-0.491
YDR299W	-0.064	-0.569
YKR060W	-0.064	-0.273
YGL027C	-0.064	-0.145
YLR435W	-0.064	-0.183
YPL136W	-0.064	-0.135
YIL160C	-0.064	0.149
YFL006W	-0.064	0.017
YDR525W	-0.064	0.035
YOR122C	-0.113	0.164
YDR511W	-0.064	-0.009
YBR214W	-0.064	0.342
YJL137C	-0.064	-0.163
YDR036C	-0.064	-0.112
YLR391W	-0.064	-0.000
YMR145C	-0.064	-0.414
YJL198W	-0.064	0.234
YNL307C	-0.064	-0.039
YKR032W	-0.064	-0.099
YNL332W	-0.065	-0.052
YHR079C-B	-0.065	-0.160
YHR083W	-0.065	-0.030
YOR316C	-0.065	0.020
YCL011C	-0.065	0.033
YKL065C	-0.065	0.054
YNR045W	-0.065	-0.108
YIR012W	-0.065	0.079
YGL085W	-0.065	-0.012
YDR043C	-0.065	-0.040
YDL174C	-0.065	0.071
YJL139C	-0.065	0.038
YJR035W	-0.065	0.220
YHL026C	-0.065	-0.137
YEL068C	-0.066	-0.473
YLL005C	-0.066	-0.253
YDR286C	-0.066	-0.121
YDR497C	-0.066	-0.203
YBL053W	-0.066	-0.076
YLR037C	-0.066	-0.091
YKL007W	-0.066	-0.115
YOR029W	-0.066	-0.227
YDR420W	-0.066	0.009
YPL168W	-0.066	0.084
YDR154C	-0.066	-0.085
YIL107C	-0.066	-0.225
YPL094C	-0.066	-0.319
YGR127W	-0.066	-0.169
YGR239C	-0.066	-0.094
YMR042W	-0.066	-0.055
YJR030C	-0.066	-0.211
YKL010C	-0.066	-0.067
YGL208W	-0.066	-0.118
YGL104C	-0.066	-0.159
YFR006W	-0.066	0.023
YDR186C	-0.066	0.122
YER044C-A	-0.067	0.118
YMR102C	-0.067	0.061
YER046W	-0.067	-0.004
YMR118C	-0.067	-0.191
YNL145W	-0.067	0.170
YNL109W	-0.067	0.003
YDR251W	-0.067	-0.063
YOR325W	-0.067	0.008
YDR055W	-0.067	0.040
YGL079W	-0.067	-0.109
YGR141W	-0.067	0.073
YHR182W	-0.067	-0.132
YNL339C	-0.067	0.323
YKL208W	-0.067	-0.416
YLR284C	-0.067	-0.142
YJR128W	-0.067	-0.072
YOR089C	-0.067	-0.237
YNL037C	-0.067	0.041
YML036W	-0.067	0.296
YDL040C	-0.067	-0.154
YOR105W	-0.067	-0.142
YNL014W	-0.067	0.014
YLR041W	-0.068	-0.033
YIL149C	-0.068	-0.127
YPR022C	-0.068	-0.246
YOR324C	-0.068	0.038
YMR127C	-0.068	-0.224
YDR406W	-0.068	0.343
YNL108C	-0.068	0.219
YIL114C	-0.068	-0.157
YHR028C	-0.068	0.152
YJR021C	-0.068	-0.293
YIL005W	-0.068	-0.144
YNL050C	-0.068	-0.124
YIL157C	-0.068	-0.069
YLR356W	-0.068	-0.094
YKL160W	-0.069	-0.446
YAL011W	-0.069	0.133
YIL088C	-0.069	-0.109
YAL008W	-0.069	-0.261
YGR207C	-0.069	-0.138
YPR019W	-0.069	-0.364
YOR018W	-0.069	-0.169
YPL230W	-0.069	-0.183
YGR182C	-0.069	-0.049
YGR028W	-0.069	-0.041
YOR013W	-0.069	-0.109
YMR163C	-0.069	0.029
YLR306W	-0.069	0.052
YDL045C	-0.069	0.216
YBR113W	-0.069	-0.071
YER120W	-0.069	-0.248
YOR368W	-0.069	-0.805
YHL046C	-0.069	-0.048
YDR449C	-0.070	0.058
YDL125C	-0.070	0.164
YJL199C	-0.070	0.172
YLR390W-A	-0.070	-0.081
YJR031C	-0.070	-0.077
YER066C-A	-0.070	-0.025
YPL165C	-0.070	-0.092
YGL101W	-0.070	-0.261
YJR072C	-0.070	-0.054
YBR182C	-0.070	0.754
YBR024W	-0.070	-0.193
YBR121C	-0.107	0.222
YJR050W	-0.070	-0.035
YPL017C	-0.071	0.014
YPL207W	-0.071	-0.156
YNL202W	-0.071	-0.035
YCL009C	-0.071	0.066
YER053C	-0.071	-0.274
YDR141C	-0.071	-0.027
YPL036W	-0.071	0.043
YGL177W	-0.071	-0.252
YLR309C	-0.071	0.077
YJL068C	-0.071	-0.130
YIL076W	-0.071	0.078
YJR154W	-0.071	-0.264
YKR074W	-0.071	-0.539
YPL208W	-0.071	-0.074
YMR111C	-0.071	-0.130
YGR144W	-0.072	-0.171
YOL020W	-0.072	-0.062
YCL012W	-0.072	-0.289
YDR025W	-0.072	-0.272
YOR233W	-0.072	-0.022
YHR130C	-0.072	-0.132
YJL174W	-0.072	0.206
YPR008W	-0.072	-0.151
YBL103C	-0.072	0.017
YJL128C	-0.072	0.001
YGL210W	-0.073	-0.022
YMR148W	-0.073	-0.346
YBR151W	-0.073	-0.014
YLR279W	-0.073	0.013
YIL049W	-0.073	0.388
YML100W	-0.073	-0.168
YBR016W	-0.073	0.191
YKR070W	-0.073	-0.213
YGR177C	-0.073	0.041
YNL143C	-0.073	0.005
YML018C	-0.073	0.002
YBR015C	-0.073	0.032
YGR117C	-0.073	-0.042
YNL274C	-0.073	0.181
YBR111C	-0.073	0.172
YJL023C	-0.073	-0.172
YOR343C	-0.074	-0.091
YJL182C	-0.074	0.073
YOR010C	-0.074	0.044
YFL007W	-0.074	0.046
YKR090W	-0.074	-0.050
YNL047C	-0.074	0.015
YGR132C	-0.074	-0.218
YMR040W	-0.074	-0.145
YIR013C	-0.074	-0.197
YMR306C-A	-0.074	-0.134
YGR032W	-0.074	0.079
YLR003C	-0.074	-0.050
YKL140W	-0.074	0.033
YNR047W	-0.074	-0.142
YDR438W	-0.074	-0.065
YMR104C	-0.074	-0.052
YLR429W	-0.074	-0.189
YLL042C	-0.074	-0.058
YBR230C	-0.074	-0.206
YAL034W-A	-0.074	0.050
YLR013W	-0.075	-0.213
YKL031W	-0.075	-0.229
YLR172C	-0.075	0.191
YOR351C	-0.075	-0.041
YOR375C	-0.075	-0.252
YPL163C	-0.075	-0.025
YML052W	-0.075	-0.322
YOR214C	-0.075	-0.098
YLR451W	-0.075	0.044
YCL001W-A	-0.075	-0.072
YOR178C	-0.075	0.046
YPR138C	-0.075	0.057
YHR123W	-0.075	-0.029
YPR025C	-0.075	-0.284
YLR112W	-0.076	-0.056
YBR086C	-0.076	-0.098
YOR267C	-0.076	-0.112
YPL119C	-0.076	-0.158
YLR001C	-0.076	-0.078
YMR251W-A	-0.076	-0.154
YMR019W	-0.076	-0.111
YMR322C	-0.076	0.223
YPL101W	-0.076	-0.041
YGR108W	-0.076	-0.227
YDR051C	-0.076	0.161
YBR129C	-0.076	-0.217
YMR277W	-0.076	-0.243
YBR291C	-0.076	-0.011
YML105C	-0.076	-0.236
YJR083C	-0.076	0.061
YMR310C	-0.076	0.035
YGL045W	-0.076	-0.234
YNL121C	-0.076	-0.202
YDR453C	-0.076	-0.242
YGL161C	-0.076	-0.073
YKR102W	-0.076	-0.125
YCR088W	-0.077	-0.025
YJL171C	-0.077	-0.294
YHL010C	-0.077	-0.120
YBR090C	-0.077	-0.012
YLR170C	-0.077	-0.060
YNR061C	-0.077	-0.105
YMR121C	-0.077	-0.106
YLR094C	-0.077	-0.067
YDR389W	-0.077	-0.049
YOR255W	-0.077	0.423
YML094W	-0.077	-0.202
YML108W	-0.077	-0.178
YPL249C	-0.077	0.003
YKR106W	-0.077	-0.361
YJL187C	-0.077	-0.062
YNL041C	-0.077	0.013
YJL168C	-0.077	0.016
YHR106W	-0.078	-0.095
YOR017W	-0.078	0.069
YGL159W	-0.078	-0.159
YHL021C	-0.078	-0.120
YKL032C	-0.078	-0.473
YCL013W	-0.078	-0.134
YER158C	-0.078	0.030
YDR416W	-0.078	-0.050
YGL216W	-0.078	-0.001
YOR042W	-0.078	0.050
YMR316C-A	-0.078	-0.023
YMR079W	-0.078	-0.345
YOR049C	-0.078	-0.087
YHL032C	-0.078	-0.120
YOL151W	-0.079	0.140
YJL165C	-0.079	0.182
YNL330C	-0.079	-0.027
YLR109W	-0.079	-0.232
YJL045W	-0.079	-0.046
YPL109C	-0.079	-0.011
YMR158W-A	-0.079	-0.308
YDL135C	-0.079	0.019
YBR029C	-0.079	-0.447
YPL190C	-0.079	NaN
YMR133W	-0.079	-0.019
YHR052W	-0.079	0.151
YDR430C	-0.080	-0.166
YJR126C	-0.080	-0.226
YML056C	-0.080	-0.051
YPL007C	-0.080	-0.115
YHL045W	-0.080	-0.229
YDL161W	-0.080	-0.270
YHR158C	-0.080	0.550
YKL035W	-0.080	-0.273
YDL243C	-0.080	-0.004
YGR183C	-0.080	0.330
YPL056C	-0.080	-0.098
YMR191W	-0.080	-0.050
YJL097W	-0.126	0.029
YLR071C	-0.080	-0.575
YFL038C	-0.080	0.144
YGR052W	-0.080	-0.070
YPL096W	-0.080	0.036
YLR385C	-0.080	-0.103
YNL223W	-0.080	0.237
YLR049C	-0.080	0.107
YLR099C	-0.081	-0.142
YDL242W	-0.081	-0.089
YEL030W	-0.081	-0.057
YDR508C	-0.081	-0.122
YBR222C	-0.081	0.028
YIL032C	-0.081	-0.182
YBR139W	-0.081	-0.029
YIR016W	-0.081	-0.126
YDR131C	-0.081	-0.117
YJR052W	-0.082	-0.032
YOR283W	-0.082	-0.176
YJL079C	-0.082	0.071
YHL041W	-0.082	-0.179
YLR143W	-0.082	-0.014
YER121W	-0.082	-0.052
YLR317W	-0.082	-0.011
YJL012C	-0.082	-0.159
YPL058C	-0.082	0.125
YNL066W	-0.082	-0.107
YLR084C	-0.083	0.229
YOL102C	-0.083	0.370
YOR215C	-0.083	-0.014
YGR176W	-0.083	-0.003
YAR030C	-0.083	-0.222
YDR104C	-0.083	0.033
YER065C	-0.083	0.094
YDR250C	-0.083	-0.130
YHR199C	-0.083	-0.037
YLR252W	-0.083	-0.150
YDL087C	-0.083	-0.241
YOL083W	-0.083	-0.110
YER010C	-0.084	0.062
YDR409W	-0.084	0.114
YFR048W	-0.084	0.037
YOR084W	-0.084	0.308
YCR087C-A	-0.084	-0.162
YGR072W	-0.084	-0.359
YOR030W	-0.084	-0.358
YPR050C	-0.084	0.146
YPL159C	-0.084	0.005
YMR279C	-0.084	-0.226
YKR026C	-0.085	-0.190
YOR337W	-0.085	-0.011
YBR135W	-0.085	0.112
YHR049C-A	-0.085	-0.074
YDR524C	-0.085	-0.038
YMR054W	-0.085	-0.115
YKR007W	-0.085	0.014
YFR030W	-0.085	-0.201
YMR311C	-0.085	0.357
YDL218W	-0.085	-0.044
YIL068C	-0.085	-0.002
YLR191W	-0.085	0.407
YLR377C	-0.085	-0.277
YLR434C	-0.085	0.028
YMR240C	-0.086	0.104
YMR204C	-0.086	-0.046
YOL130W	-0.086	-0.225
YOR229W	-0.086	-0.217
YIR003W	-0.086	0.027
YML126C	-0.086	0.230
YGR248W	-0.086	0.010
YPL222W	-0.087	-0.129
YDR089W	-0.087	0.414
YML072C	-0.087	-0.153
YKL177W	-0.087	-0.124
YJL067W	-0.087	-0.213
YMR263W	-0.087	-0.035
YOR365C	-0.087	-0.042
YKL018W	-0.130	-0.116
YGL226C-A	-0.087	-0.185
YNL286W	-0.088	0.099
YKL019W	-0.088	-0.065
YOR222W	-0.088	-0.038
YLR127C	-0.088	0.149
YPR111W	-0.088	0.060
YCL075W	-0.088	-0.064
YOL152W	-0.088	0.235
YDL241W	-0.088	0.137
YDR253C	-0.088	-0.042
YGR269W	-0.088	-0.183
YBR058C	-0.088	0.154
YOR271C	-0.088	0.068
YHR087W	-0.088	-0.109
YHR040W	-0.089	-0.053
YER128W	-0.089	0.236
YHR176W	-0.089	-0.065
YDR156W	-0.089	-0.032
YKL161C	-0.089	-0.162
YIL002C	-0.089	-0.194
YGR010W	-0.089	-0.228
YBL063W	-0.089	-0.123
YBR292C	-0.089	-0.115
YPL103C	-0.090	-0.296
YPL264C	-0.090	0.080
YBR247C	-0.090	-0.071
YIL084C	-0.090	-0.226
YDL233W	-0.090	0.046
YOL126C	-0.090	0.248
YDR067C	-0.090	0.134
YLR180W	-0.090	-0.260
YNR028W	-0.090	-0.046
YKL199C	-0.090	-0.248
YDR030C	-0.090	-0.073
YIL143C	-0.090	-0.389
YOL019W	-0.090	0.096
YGR035C	-0.090	0.270
YCL074W	-0.090	-0.002
YHR057C	-0.091	-0.046
YJR107W	-0.091	-0.181
YPL221W	-0.091	-0.322
YDR374C	-0.091	-0.032
