20040824	NAME	WEIGHT	DESC	AAPO	YPD	Wort	RafA	Lova	HygB	GlyE	Calc	Caff	AntA	ActD	Alk-5g	Alk-15g	AraC	Arn	Ars	Ben	Bleo	Cis1	Cis4	CPTa	CPTc	Dox	Gal-5g	Gal-15g	H2O2	HU	Ida	IR	Lys	Mech	Mel	Min-5g	Min-15g	MMC	MMS	NaCl-5g	NaCl-15g	Nys-5g	Nys-15g	Oxa	SC	Sorb-5g	Sorb-15g	Thr	Tpt	TPZ	Trp	UVA	UVB	UVC
YIL105C	LIT2	1	unknown function	-0.887	0.092	-0.938	0.034	-0.943	-0.043	0.054	0.146	-0.997	0.198	0.116	-0.007	0.121	0.024	0.035	0.028	-0.265	-0.119	-0.078	-0.066	-0.041	-0.012	0.235	-0.05	0.014	-1.039	0.133	0.021	0.428	0.085	-0.06	-0.192	0.042	0.079	-0.068	0.58	-0.024	0.1	-0.254	-0.256	0.13	0.177	-0.167	-0.092	0.129	0.096	-0.801	0.058	-0.089	0.496	0.536
YIL120W	QDR1	1	multidrug transport	-0.391	0.061	0.161	-0.023	0.041	0.082	-0.255	-0.14	0.013	-0.174	-0.004	-0.126	-0.021	0	-0.07	0.004	-0.038	0.016	0.002	-0.066	-0.005	0.059	0.029	0.011	0.046	-0.484	-0.019	-0.102	0.014	-0.063	0.005	-0.015	0.102	0.05	0.013	0.01	-0.118	-0.046	-0.024	0.04	-0.05	-0.027	0.098	0.267	-0.005	0.033	-0.118	0	0.18	-0.015	0.038
YMR141C	YMR141C	1	unknown function	-0.009	0.099	-0.071	-0.048	-0.18	-0.2	0.335	0.148	-0.205	0.313	-0.087	0.287	0.551	-0.359	-0.06	-0.025	-0.015	0.024	-0.048	-0.066	-0.035	0.023	0.199	0.143	0.066	-0.024	0.009	-0.189	-0.059	-0.275	0.013	-0.03	-0.05	0.141	0.033	-0.336	0.277	0.424	-0.291	-0.191	0.069	-0.24	-0.196	-0.181	-0.252	-0.03	-0.205	-0.215	0.187	0.015	-0.068
YOL053C-A	YOL053C-A	1	unknown function	0.116	0.051	0.103	0.019	-0.055	0.067	-0.099	-0.007	0.04	-0.135	-0.008	0.171	0.086	-0.252	0.021	0.017	-0.08	-0.025	0.014	-0.066	-0.021	0.035	-0.027	0.045	-0.026	-0.154	0.085	-0.173	0.07	0.117	0.075	-0.03	0.171	0.104	0.028	-0.018	0.057	-0.023	0.153	0.084	0.02	0.084	0.118	0.02	0.075	-0.009	-0.155	0.121	-0.03	0.072	0.123
YOR185C	GSP2	1	nuclear organization and biogenesis	0.214	0.069	-0.14	-0.114	-0.047	0.104	0.234	0.207	0.022	0.223	0.008	0.127	-0.065	0.081	0.036	0.23	-0.071	-0.045	0.013	-0.066	-0.005	-0.017	0.082	-0.001	-0.161	0.153	-0.03	0.004	0.016	0.008	-0.055	-0.03	-0.129	0.008	-0.003	-0.023	0.022	-0.152	0.046	-0.039	-0.012	-0.031	-0.299	-0.395	-0.052	0.034	-0.073	0.019	0.02	0.016	-0.017
YOR311C	HSD1	1	unknown function	0.249	0.071	0.202	-0.024	-0.024	-0.028	-0.145	0.105	0.128	-0.077	-0.126	0.175	0.063	-0.135	0.005	-0.15	-0.083	0.045	0.011	-0.066	0.057	-0.011	-0.095	0.095	0.195	0.245	0.121	-0.092	-0.036	-0.061	-0.216	-0.008	-0.169	0.026	0.001	0.176	0.214	0.161	0.039	0.052	-0.039	-0.039	-0.157	-0.368	-0.006	-0.174	-0.119	-0.07	-0.001	-0.051	-0.061
YPL018W	CTF19	1	chromosome segregation*	0.408	-0.574	0.124			-0.181			-0.272		-0.043	-0.521	-0.37	-0.092	0.156	0.135	0.36	-0.094	-0.262	-0.066	0.037	-0.05	0.088	0.087	0.296	0.089	0.059	0.032	-0.024	-0.153	0.367	-0.138	-0.596	-0.094	0.133	0.171	-0.07	0.433	-0.232	-0.092	-0.376	-0.096	-0.663	-1.093	-0.128	0.144	0.171	-0.216	-0.133	0.006	0.042
YPL096W	PNG1	1	misfolded or incompletely synthesized protein catabolism*	0.059	0.099	0.202	0.006	0.04	0.093	-0.043	-0.007	-0.033	-0.022	-0.021	-0.168	-0.24	-0.07	-0.078	-0.076	0.005	0.029	-0.012	-0.066	0.1	0.037	-0.019	0.008	0.007	-0.089	-0.011	0.002	-0.054	-0.046	0.158	0.021	-0.147	-0.074	-0.051	-0.036	-0.084	0.049	-0.095	-0.057	-0.048	-0.087	-0.063	-0.113	0.023	0.119	-0.022	-0.082	0.162	-0.035	-0.027
YPR157W	YPR157W	1	unknown function	0.047	0.05	0.031			-0.046			0.004		0.042	-0.137	-0.276	0.199	0.096	-0.022	0.121	0.131	-0.055	-0.066	0.203	0.056	0.004	-0.058	0.061	0.118	0.003	0.151	-0.017	-0.444	0.3	0.127	-0.71	-0.254	0.152	-0.007	-0.059	-0.258	-0.278	-0.361	0.023	-0.354	-0.861	-0.835	-0.412	0.132	0.062	-0.454	-0.223	-0.014	-0.084
YGL237C	HAP2	1	transcription*	-0.013	-0.178	0.205			0.011	-0.859	-0.262	0.167	-0.044	0.004	0.105	0.805	0.127	0.234	-0.01	0.194	0.119	-0.065	-0.065	-0.029	0.128	-0.051	-0.093	-0.028	-0.41	-0.106	0.284	0.023	-0.43	0.412	0.028	0.1	-0.003	0.08	-0.004	0.065	0.706	-0.369	-0.124	0.204	-0.413	0.024	0.468	-0.675	0.222	0.164	-0.44	-0.091	-0.085	-0.013
YGL261C	YGL261C	1	unknown function	0.168	0.01	-0.114	-0.057	-0.037	0.293	0.012	0.1	0.274	-0.009	-0.139	-0.186	0.074	0.13	0.08	0.11	0.233	-0.091	0.039	-0.065	-0.072	-0.008	0.009	0.117	0.073	0.416	-0.023	-0.082	-0.183	0.055	-0.168	-0.03	-0.154	-0.145	-0.09	-0.106	-0.241	-0.19	0.067	-0.007	0.175	0.089	-0.042	-0.05	-0.028	0.091	-0.026	0.012	-0.095	-0.094	-0.092
YKL121W	YKL121W	1	unknown function	0.322	-0.037	-0.075	-0.058	0.203	0.027	0.129	0.056	0.147	0.146	0.125	-0.254	-1.306	0.121	-0.062	0.306	-0.359	-0.105	-0.12	-0.065	-0.027	0.024	-0.101	-0.116	-0.121	0.469	-0.233	-0.082	-0.317	-0.068	0.175	-0.018	-0.123	0.026	0.021	0.138	-0.218	0.019	-0.045	-0.223	-0.331	-0.126	-0.2	-0.689	-0.165	0.107	-0.993	-0.155	-0.14	-0.085	-0.084
YML051W	GAL80	1	"regulation of transcription, DNA-dependent*"	0.066	0.107	-0.054	0.021	-0.291	-0.101	-0.452	-0.086	-0.209	-0.209	-0.168	-0.023	0.629	-0.372	-0.044	0.266	-0.319	0.021	-0.029	-0.065	0.091	-0.023	0.007	0.116	-0.024	0.233	0.04	0.142	0.018	-0.302	0.104	-0.013	-0.063	0.045	0.073	0.068	-0.105	-0.07	-0.242	-0.22	-0.194	-0.234	-0.13	0.245	-0.117	0.125	0.157	-0.206	0.265	-0.004	0.084
YMR273C	ZDS1	1	establishment of cell polarity (sensu Saccharomyces)*	-0.06	0.033	-0.234	0.039	-0.32	-0.243	0.326	-0.233	-0.327	0.14	-0.483	-0.013	-0.369	-0.379	-0.148	-0.023	-0.208	-0.001	0.003	-0.065	-0.085	-0.02	0.005	0.081	-0.043	0.034	0.045	-0.018	-0.036	-0.06	-0.089	0.014	-0.039	0.023	0.073	-0.071	0.342	0.372	-0.26	-0.406	-0.132	-0.001	-0.134	-0.16	-0.006	0.025	0.112	0.07	-0.102	0.014	0.055
YNL176C	YNL176C	1	unknown function	0.085	0.059	-0.043	0.015	-0.021	-0.043	0.216	0.034	-0.148	0.194	0.017	-0.107	-0.38	-0.24	-0.117	-0.153	0.067	0.012	-0.037	-0.065	-0.012	0.057	0.098	-0.055	-0.111	-0.115	-0.001	-0.154	0.081	-0.121	0.227	0.009	-0.241	-0.033	-0.043	-0.057	-0.07	-0.076	-0.144	-0.174	-0.008	-0.15	-0.191	-0.548	-0.048	0.072	-0.041	-0.056	0.179	0.105	0.073
YNL338W	YNL338W	1	unknown function	-0.148	0.058	0.005	-0.003	-0.024	-0.032	-0.081	-0.036	-0.022	-0.056	-0.003	0.064	0.098	-0.374	0.015	0.205	-0.098	0.023	-0.031	-0.065	-0.055	0.002	0.117	0.152	0.109	0.038	-0.002	-0.144	0.229	-0.102	-0.108	-0.019	0.18	0.089	0.017	-0.18	0.015	-0.04	-0.088	-0.016	-0.017	-0.148	0.017	0.071	-0.165	0.034	-0.179	-0.084	-0.089	0.221	0.225
YOR229W	WTM2	1	regulation of meiosis	0.088	0.025	0.102	0.061	-0.006	0.079	-0.134	0.01	0.06	-0.094	-0.039	-0.095	-0.005	-0.08	-0.068	0.136	0.015	-0.026	0.024	-0.065	-0.003	-0.003	0.072	0.017	-0.071	-0.049	-0.247	0.129	0.116	-0.169	-0.111	-0.061	-0.089	-0.06	0.022	-0.176	-0.026	-0.02	-0.171	-0.149	0.007	-0.125	-0.101	0.076	-0.166	-0.145	-0.076	-0.146	0.133	0.124	0.14
YCR034W	FEN1	1	vesicle-mediated transport*	-0.149	-0.483										-0.182	0.479		-0.103		-0.272	-0.131	-0.129	-0.064		-0.012	1.081	-0.057	0.131	-0.589	0.021		0.249	-0.721	0.443		-0.677	-0.873	0.132	0.893	-0.194	-0.401	-0.322	-0.35	0.618	-0.346	0.26	0.873	-0.106	-0.609		-0.805	-0.052	0.169	0.385
YDR257C	RMS1	1	unknown function	0.103	-0.229	-0.051	-0.058	-0.166	-0.014	-0.256	-0.31	-0.05	-0.186	-0.012	-0.081	0.014	-0.006	0.092	-0.004	0.006	-0.002	-0.124	-0.064	-0.092	-0.079	0	-0.091	-0.063	0.286	-0.229	0.171	-0.323	-0.103	-0.024	-0.052	-0.226	-0.118	-0.05	0.205	-0.004	-0.025	-0.115	-0.071	0.085	-0.034	-0.262	-0.278	-0.093	-0.085	-0.346	-0.061	-0.043	-0.112	-0.154
YGL054C	ERV14	1	ER to Golgi transport*	0.039	-0.667	-0.085			-0.27			0.15			-0.359	-0.592		-0.074	0.197	0.088	-0.276	0.044	-0.064		-0.002	0.189	-0.141	0.211	0.61	0.107	0.555	0.179	-0.667	-0.287		-0.094	-0.57	0.257	0.002	-0.022	-0.23	-0.158	-0.26	0.659	-0.498	0.216	0.421	-0.074	-0.117	-0.349	-0.666	-0.075	0.022	0.27
YHR133C	NSG1	1	unknown function	-0.05	0.091	-0.069	0.005	-0.086	0.059	-0.184	-0.12	-0.024	-0.195	0.087	-0.113	0.093	-0.106	0.087	0.063	-0.046	0.113	-0.028	-0.064	0.084	0.003	0.127	-0.047	-0.064	-0.127	0.117	-0.255	-0.018	0.133	0.128	0.072	-0.071	0.032	0.04	0.183	-0.102	-0.274	0.147	0.145	-0.018	0.173	0.053	0.04	0.156	-0.014	-0.132	0.133	-0.125	0.047	0.038
YIL011W	TIR3	1	unknown function	0.021	0.112	-0.014	-0.057	-0.179	-0.006	-0.172	0.012	-0.154	0.012	-0.139	-0.058	0.445	-0.283	-0.05	0.135	-0.299	0.059	0	-0.064	0.095	-0.087	0.079	0.102	0.24	0.149	-0.01	-0.099	-0.129	-0.223	0.142	0.029	0.05	0.162	-0.044	0.441	-0.02	0.152	0.014	0.176	0.113	-0.187	-0.067	-0.095	-0.13	0.132	-0.276	-0.236	-0.079	-0.042	-0.037
YJR088C	YJR088C	1	unknown function	0.544	0.168	0.253	-0.093	-0.206	-0.279	-0.191	-0.605	0.058	-0.241	-0.142	0.565	0.321	0.027	0.112	0.012	0.248	-0.068	0.015	-0.064	-0.112	-0.035	-0.159	0.625	0.058	0.577	-0.179	-0.11	-0.195	0.424	0.13	0.117	-0.132	-0.106	0.106	-0.201	0.548	0.046	0.037	-0.465	-0.088	0.34	-0.037	-0.694	0.712	-0.176	-0.017	0.394	-0.185	-0.139	-0.196
YKL098W	YKL098W	1	unknown function	0.284	0.087	0.034	-0.085	0.338	-0.282	-0.029	-0.178	-0.02	-0.062	-0.08	-0.278	-1.037	0.185	0.061	0.289	-0.83	-0.02	-0.061	-0.064	0.01	0.087	-0.551	-0.031	0.009	0.374	0.127	-0.357	-0.066	-0.169	-0.047	0.008	-0.449	-0.072	0.113	-0.269	-0.272	-1.199	0.076	-0.039	-0.185	-0.201	-0.414	-0.576	-0.242	0.152	0.122	-0.222	0.011	-0.041	-0.068
YLR451W	LEU3	1	regulation of transcription from Pol II promoter*	-0.22	0.092	-0.175	-0.098	0.101	0.112	0.13	-0.022	0.081	0.129	0.028	-0.516	-1.44	0.032	0.039	0.055	-0.227	-0.018	-0.034	-0.064	-0.023	0.041	0.028	-0.147	-0.071	0.062	-0.085	-0.078	-0.112	-0.846	0.028	-0.045	-0.153	-0.309	-0.053	-0.139	-0.058	0.212	-0.269	-0.606	-0.043	-0.59	-0.277	0.024	-0.46	-0.008	0.146	-1.196	-0.079	-0.056	0.013
YNL191W	YNL191W	1	unknown function	0.276	0.041	0.044	0.037	-0.042	0.036	-0.185	-0.094	-0.052	-0.086	-0.137	-0.247	0.05	-0.121	0.012	0.2	-0.063	0.009	0.013	-0.064	-0.078	0.035	0.236	-0.097	0.012	0.215	-0.084	-0.127	-0.029	-0.135	0.197	0.063	-0.164	-0.036	-0.01	-0.226	-0.237	-0.007	-0.09	0.047	-0.01	-0.099	-0.217	0.027	-0.089	0.07	0.017	-0.049	0.098	-0.038	-0.032
YAL051W	OAF1	1	peroxisome organization and biogenesis*	-0.396	0.093	-0.213	0.025	-0.063	-0.152	0.065	0.005	-0.205	0.061	-0.134	-0.036	0.057	0.117	-0.09	0.308	-0.121	0.029	0.02	-0.063	0.076	-0.013	0.098	-0.006	-0.325	-0.066	-0.093	0.027	-0.004	-0.083	-0.134	0.022	-0.04	0.125	-0.038	-0.143	-0.103	-0.072	-0.116	-0.093	-0.056	-0.104	-0.067	0.063	-0.192	-0.092	0.291	-0.024	0.009	0.01	0.005
YBL107C	YBL107C	1	unknown function	0.279	0.076	-0.092		0.065	0.005	0.04	0.087	0.047	0.072	-0.131	-0.22	-0.307	-0.033	0.039	-0.693	0.005	0.023	-0.037	-0.063	-0.144	-0.101	-0.044	-0.204	-0.071	0.149	-0.118	-0.646	-0.032	-0.011	-0.112	-0.012	-0.267	-0.124	-0.048	0.316	-0.176	-0.087	-0.309	-0.04	-0.069	-0.207	-0.35	-0.245	-0.332	0.144	0.101	-0.299	0.029	-0.06	-0.01
YBR020W	GAL1	1	galactose metabolism	-0.849	-0.304	-0.482	0.055	-0.003	-0.256	0.499	0.245	0.052	0.426	0.187	-0.08	-0.414	-0.001	0.22	0.005	0.407	-0.123	-0.232	-0.063	-0.055	-0.012	0.079	-0.861	-2.145	-1.071	0.002	-1.132	-0.489	0.015	-0.155	-0.068	-0.232	-0.075	-0.211	0.201	0.031	-0.013	-1.014	-1.975	0.029	0.089	-0.264	-0.441	0.163	0.112	-0.564	0.233	0.111	-0.187	-0.313
YBR033W	EDS1	1	unknown function	-0.03	0.085	0.077	-0.141	0.016	0.054	-0.061	-0.207	-0.009	-0.028	0.006	0.053	0.001	0.1	-0.134	0.068	0.043	-0.053	-0.105	-0.063	-0.081	0.014	-0.005	0.07	-0.115	-0.182	0.019	-0.176	-0.028	-0.029	-0.043	-0.023	0.191	-0.005	0.027	-0.2	0.099	0.033	0.002	-0.026	-0.11	0.013	0.147	0.157	0.045	0.042	0.076	-0.065	0.042	-0.004	-0.01
YBR045C	GIP1	1	spore wall assembly (sensu Saccharomyces)	-0.022	0.024	-0.006	-0.056	0.023	0.143	0.059	0.101	0.131	0.044	0.039	0.082	-0.007	0.14	-0.104	-0.098	-0.012	-0.068	-0.085	-0.063	0.059	-0.018	-0.014	-0.056	-0.046	0.076	0.142	-0.048	0.001	-0.117	-0.02	-0.014	-0.018	0.094	0.115	0.152	0.185	0.209	-0.034	0.029	-0.09	-0.015	-0.146	-0.087	0.134	0.009	-0.014	-0.117	0.264	-0.036	-0.014
YCR069W	CPR4	1	unknown function	-0.479	0.084	-0.001	0.027	0.005	0.097	-0.104	0.088	0.023	-0.025	-0.101	-0.159	-0.212	-0.186	-0.023	0.016	-0.146	0.038	-0.047	-0.063	-0.117	0.03	0.084	0.046	0.07	-0.597	0.066	-0.154	0.063	-0.148	-0.023	0.006	-0.06	0.027	-0.017	0.126	-0.098	-0.178	-0.083	-0.03	0.009	-0.01	-0.014	0.075	-0.184	0.052	-0.087	-0.028	-0.127	-0.033	-0.048
YDR080W	VPS41	1	protein transport*	0.146	-0.638				-1.099			-1.007		-1.002	-0.494	-1.023	0.112		0.118	-0.205	-0.94	-0.038	-0.063	0.255	0.121	-0.439	0.094	0.138	0.455	-0.032	0.196	0.076	-0.307	-0.083	0.062	-0.293	-0.49	0.069	-0.119	0.181	0.559	-0.744	-0.859	-0.197	-0.419	-0.154	0.01	-0.297	-0.079	-0.143	-0.395	0.212	0.101	0.052
YDR258C	HSP78	1	response to stress*	0.063	0.001	-0.042	-0.042	-0.251	0.027	-0.099	0.137	-0.029	0.05	0.001	-0.123	-0.113	0.02	-0.069	0.217	-0.343	0.072	0.029	-0.063	0.092	-0.04	-0.009	-0.075	-0.006	0.553	0.011	-0.005	-0.068	-0.106	-0.01	-0.031	-0.396	-0.104	0.137	0.01	0.014	-0.071	0.081	0.004	0.297	-0.115	-0.326	-0.335	-0.116	-0.025	0.024	-0.146	0.291	-0.015	-0.031
YHR082C	KSP1	1	protein amino acid phosphorylation	-0.982	0.061	0.095	-0.184	0.165	-0.027	-0.389	-0.794	0.188	-0.084	0.033	-0.791	-1.794	-0.054	-0.099	0.095	-0.125	0.033	-0.112	-0.063	-0.009	0.086	0.02	-0.109	-0.12	-1.007	-0.097	0.146	-0.091	0.049	0.099	-0.106	-0.204	0.069	0.001	-0.41	-0.1	0.106	0.051	0.031	-0.061	0.019	-0.188	-0.205	0.066	0.178	-0.346	0.074	-0.017	-0.022	-0.051
YJL055W	YJL055W	1	unknown function	-0.486	0.08	-0.118	0.001	-0.108	0.074	-0.123	-0.007	-0.058	-0.083	-0.017	-0.064	-0.01	-0.458	-0.134	0.121	-0.09	-0.022	-0.034	-0.063	-0.032	-0.047	0.032	0.054	0.008	-0.636	-0.022	-0.202	0.001	-0.053	-0.087	0.021	0.081	-0.07	-0.097	-0.044	-0.069	-0.128	0.043	0.078	-0.055	0.009	0.07	0.06	0.023	-0.105	-0.113	0.039	0.258	0.025	-0.007
YLR072W	YLR072W	1	unknown function	-0.274	0.001	-0.046	0.079	-0.103	0.028	-0.042	0.031	-0.009	-0.011	-0.052	0.053	0.109	-0.056	0.045	0.103	-0.056	0.061	0.025	-0.063	-0.017	-0.051	0.028	0.075	0.047	-0.31	0.059	-0.077	-0.04	-0.068	0.046	-0.039	0.063	0.041	0.002	0.109	0.047	0.048	-0.025	-0.036	-0.5	-0.053	-0.029	0.041	-0.09	0.022	-0.051	-0.034	-0.025	-0.002	0.005
YML119W	YML119W	1	unknown function	-0.124	-0.111	-0.049	0.207	-0.311	-0.126	0.021	-0.184	-0.078	-0.001	-0.194	-0.246	-0.289	0.077	0.089	-0.208	0.228	0.006	-0.138	-0.063	-0.069	-0.029	-0.226	-0.119	-0.077	0.257	-0.025	-0.177	-0.111	0.181	-0.109	-0.081	-0.345	-0.079	-0.166	-0.105	-0.466	-0.337	-0.023	0.051	-0.281	0.122	-0.189	-0.137	0.148	-0.11	-0.049	0.162	-0.125	-0.104	-0.075
YNL027W	CRZ1	1	"regulation of transcription, DNA-dependent*"	0.17	0.084	0.054	-0.04	0.139	0.103	-0.046	-0.317	0.023	-0.07	0.062	-0.131	-0.173	0.124	-0.036	0.057	0.077	-0.037	-0.269	-0.063	-0.024	0.01	-0.046	-0.097	-0.055	0.004	-0.011	-0.059	-0.027	-0.067	0.069	-0.007	-0.068	0.074	-0.024	-0.021	-0.444	-2.096	0.037	0.011	-0.183	-0.095	-0.057	0.179	-0.065	0.07	-0.078	-0.039	0.021	-0.074	-0.023
YNL105W	YNL105W	1	unknown function	-0.19	0.046	-0.143	-0.032	-0.11	0.074	0.139	0.019	-0.024	0.138	0.335	0.147	0.376	0.113	0.073	-0.041	-0.019	0.057	-0.148	-0.063	-0.07	-0.058	0.329	0.006	0.304	-0.129	-0.017	0.083	0.065	-0.054	-0.081	-0.01	0.069	0.148	0.019	-0.176	0.088	0.171	-0.213	-0.013	-0.217	-0.126	-0.261	-0.087	-0.212	-0.02	-0.042	-0.066	0.046	-0.023	0.011
YOL046C	YOL046C	1	unknown function	0.103	0.078	0.164	-0.064	-0.055	0.225	-0.236	-0.121	0.187	-0.202	0.134	0.079	-0.494	-0.182	0.069	0.228	-0.139	0.034	0.002	-0.063	-0.139	-0.103	0.05	0.177	0.114	0.093	0.03	-0.217	0.072	0.118	-0.38	0.072	0.194	0.081	-0.085	-0.266	0.169	0.089	0.144	0.151	0.129	0.093	0.124	0.008	0.207	-0.139	-0.182	0.076	-0.126	0.118	0.129
YOL065C	INP54	1	exocytosis	-0.192	0.068	0	-0.023	0.02	0.024	-0.071	0.008	-0.043	-0.046	0.008	-0.326	-0.595	-0.267	-0.013	-0.06	-0.143	0.074	-0.05	-0.063	-0.057	-0.075	0.041	-0.029	0.044	-0.162	0.063	-0.11	-0.045	-0.149	0.029	-0.038	-0.214	-0.086	0.059	0.007	-0.175	-0.101	0.034	0.067	-0.086	-0.14	-0.055	0.02	-0.029	-0.082	-0.102	-0.255	0.159	-0.021	-0.072
YOR023C	AHC1	1	nucleosome disassembly	-0.706	0.149	-0.043	-0.022	-0.032	-0.184	0.048	0.215	-0.031	0.094	0.14	-0.198	-0.547	-0.025	-0.08	0.232	-0.67	0.027	-0.054	-0.063	0.023	-0.001	0.113	-0.064	-0.133	-0.092	0.004	0.056	0.254	-0.22	-0.126	-0.085	-0.165	-0.113	0.013	-0.015	-0.13	-0.444	-0.045	-0.147	-0.344	-0.057	-0.016	-0.036	-0.102	-0.123	-0.039	-0.164	-0.047	0.186	0.194
YOR141C	ARP8	1	unknown function	0.671	-1.717	-0.233	0.095	0.309	0.196	0.524	0.095	-0.113	0.287	-0.104	0.417	0.984	0.022	0.541	0.168	1.121	-0.05	0.207	-0.063	-0.049	-0.032	0.524	0.079	0.065	0.269	-0.686	0.348	-1.222	0.422	-0.137	0.084	0.231	0.944	-0.114	0.047	0.361	1.22	0.072	0.161	0.341	0.207	-0.054	-0.236	0.231	-0.28	-0.07	0.287	0.049	-0.253	-0.428
YPL249C	GYP5	1	vesicle-mediated transport	-0.365	0.085	-0.08	0.125	-0.06	-0.249	0.088	0.074	-0.099	0.106	-0.071	0.176	0.15	-0.249	-0.077	-0.045	-0.081	0.026	0.029	-0.063	0.057	-0.005	0.089	0.029	-0.148	-0.23	0.039	0.036	-0.06	-0.085	0.014	0.052	-0.085	0.038	-0.024	0.115	0.148	0.109	-0.004	-0.071	0.041	-0.044	-0.127	-0.09	-0.003	-0.173	-0.016	0	0.042	-0.039	-0.065
YBL085W	BOI1	1	establishment of cell polarity (sensu Saccharomyces)*	-0.668	0.039	0.05	-0.039	-0.023	-0.107	0.159	0.088	-0.179	0.109	0.047	0.137	0.011	0.138	-0.048	-0.019	-0.03	-0.004	-0.018	-0.062	0.042	-0.034	-0.037	0.009	0.007	-0.693	0.097	-0.076	-0.013	-0.055	-0.022	-0.039	0.097	0.071	0.006	-0.076	-0.017	-0.056	-0.065	-0.138	0.022	-0.091	0.064	-0.042	-0.164	-0.074	-0.031	-0.036	0.091	-0.074	-0.066
YEL065W	SIT1	1	iron ion homeostasis*	-0.399	0.09	-0.167	-0.036	-0.369	-0.073	0.132	0.09	-0.101	0.168	-0.066	0.061	0.257	-0.226	0.012	0.255	-0.176	0.095	0.04	-0.062	0.037	-0.067	0.182	0.146	0.264	-0.428	-0.003	-0.01	-0.02	-0.047	0.05	0.002	-0.028	0.205	-0.02	-0.016	0.119	0.12	-0.198	-0.121	-0.017	-0.154	-0.116	-0.208	-0.237	0.056	-0.219	-0.159	-0.078	-0.029	0.022
YHR109W	CTM1	1	protein modification	-0.347	0.071	0.012	-0.036	-0.035	0.019	-0.056	-0.126	-0.079	-0.073	-0.091	0.106	0.124	-0.125	-0.069	0.026	-0.058	-0.037	-0.04	-0.062	0.082	0.001	0.006	-0.042	-0.085	-0.579	0.009	0.099	0.037	-0.039	0.159	0.03	0.15	0.067	-0.021	-0.006	0.034	0.044	0.023	0.049	0.01	-0.034	0.046	0.08	-0.095	0.14	-0.085	0.019	0.126	-0.013	-0.03
YJR011C	YJR011C	1	unknown function	-0.331	-0.08	0.134	0.174	-0.09	0.064	-0.3	-0.158	-0.052	-0.22	-0.31	0.118	0.433	-0.062	0.082	0.118	0.006	0.057	-0.069	-0.062	0.028	0.045	0.18	-0.055	0.042	-0.22	0.051	0.041	-0.016	-0.101	-0.063	-0.076	0.174	0.003	-0.029	-0.021	0.129	0.301	0.029	0.238	-0.23	0.057	0.175	0.43	0.065	-0.096	-0.413	0.115	0.045	0.006	0.083
YKL136W	YKL136W	1	unknown function	-0.056	0.001	0.025	-0.271	0.055	-0.919	-0.3	-0.447	-0.065	-0.061	-1.571	-0.395	-1.778	0.059	-0.13	0.034	0.028	-0.661	-0.125	-0.062	0.128	0.127	-0.171	-0.147	-0.087	0.409	-0.038	-0.055	0.026	-0.32	0.132	-0.048	-0.058	-0.349	0.034	-0.111	-0.097	-0.445	-0.297	-0.476	-0.017	-0.384	-0.05	0.088	-0.474	0.133	0.129	-0.295	0.123	-0.013	-0.016
YKR031C	SPO14	1	exocytosis*	0.32	-0.019	0.021		-0.187	-0.313	-0.042	0.117	0.031	-0.045	-0.249	0.051	0.079	0.123	-0.015	0.185	-0.15	-0.1	-0.118	-0.062	-0.029	0.066	-0.322	0.123	0.135	0.372	-0.032	0.04	-0.09	-0.19	-0.059	-0.116	-0.158	-0.075	-0.007	0.306	-0.019	0.155	-0.12	-0.121	-0.437	-0.134	-0.215	-0.199	-0.159	-0.258	-0.059	-0.181	-0.016	-0.015	-0.057
YMR171C	YMR171C	1	unknown function	-0.231	0.091	-0.142	-0.056	-0.143	-0.189	-0.175	-0.175	-0.221	-0.013	-0.141	-0.064	-0.126	-0.361	-0.121	0.1	-0.116	0.029	-0.043	-0.062	0.039	-0.031	0.212	0.047	0.207	-0.327	-0.04	-0.07	0.088	-0.348	-0.032	0.086	-0.084	0.112	-0.048	-0.143	0.067	0.169	-0.217	-0.183	-0.046	-0.387	-0.025	0.081	-0.176	-0.08	-0.013	-0.377	-0.215	0.069	0.056
YMR316C-A	YMR316C-A	1	unknown function	-0.048	0.08	-0.001	0.023	-0.092	0.039	-0.136	-0.08	-0.08	-0.009	-0.025	-0.108	-0.017	-0.39	-0.025	-0.19	-0.103	0	0	-0.062	-0.025	0.027	0.126	-0.023	0.088	0.017	0.118	-0.062	-0.05	-0.207	0.083	-0.021	0.028	0.099	-0.052	0.045	-0.11	-0.121	-0.149	-0.088	0.034	-0.18	0.014	0.018	-0.179	0.114	-0.146	-0.199	-0.104	-0.012	0
YOL045W	PSK2	1	protein amino acid phosphorylation*	0.424	0.01	0.119	0.033	-0.064	0.32	-0.107	0.036	0.252	-0.129	0.174	-0.296	-1.36	-0.206	0.098	0.067	0.081	0.06	0.005	-0.062	-0.006	-0.045	0.035	0.086	-0.01	0.483	0.14	0.066	0.162	-0.004	0.079	-0.086	0.01	-0.062	-0.021	0.03	-0.108	-0.332	0.111	0.127	-0.067	0.029	0.117	-0.078	0.062	0.104	-0.333	-0.047	-0.049	0.177	0.161
YOR209C	NPT1	1	chromatin silencing at telomere*		-0.823										0.108			0.043	-0.164	1.285		-0.054	-0.062		0.192		0.031		0.1	-0.018	0.38	0.43	-0.406	-0.045		-0.085			0.503	-0.491		0.211		0.268	-0.421	-0.158		-0.295	0.149		-0.357	-0.115	0.144	0.385
