^SAMPLE = GSM30549
!Sample_title = No benomyl
!Sample_geo_accession = GSM30549
!Sample_status = Public on Nov 05 2004
!Sample_submission_date = Sep 13 2004
!Sample_last_update_date = May 27 2005
!Sample_type = RNA
!Sample_channel_count = 2
!Sample_source_name_ch1 = no benomyl
!Sample_organism_ch1 = Saccharomyces cerevisiae
!Sample_taxid_ch1 = 4932
!Sample_molecule_ch1 = total RNA
!Sample_source_name_ch2 = no benomyl
!Sample_organism_ch2 = Saccharomyces cerevisiae
!Sample_taxid_ch2 = 4932
!Sample_molecule_ch2 = total RNA
!Sample_description = A pool of 5,896 haploid-convertible heterozygous diploid yeast knockout (YKO) strains were sporulated.
!Sample_description = A pool of isogenic haploid MATa cells were obtained by selection on a magic medium without the drug benomyl at 30 degree for 2 days.
!Sample_description = Genomic DNA was prepared from this pool of freshly generated haploid cells and used as the template for PCR amplification of the TAGs identifying the YKOs with a pair of primers universal for either Uptags or Downtags.
!Sample_description = The PCR products from sample1 or sample2 were differentially labeled with Cy5 or Cy3.
!Sample_description = The Cy5- and Cy3-labeled Uptags and Downtags were mixed together and hybridized to a Hopkins-TagArray.
!Sample_description = Fluorescent array images were collected for both Cy5 and Cy3 with a GenePix4000B microarray scanner.
!Sample_description = The image data was annalyzed with a GenePix5.1 program.
!Sample_description = Keywords = benomyl, heterozygote, YKO
!Sample_platform_id = GPL1444
!Sample_contact_name = Xuewen,,Pan
!Sample_contact_email = xpan2@jhmi.edu
!Sample_contact_phone = 410-955-2477
!Sample_contact_laboratory = Boeke Lab
!Sample_contact_department = Department of Molecular Biology and Genetics
!Sample_contact_institute = Johns Hopkins University School of Medicine
!Sample_contact_address = 733 N. Broadway, Room 331
!Sample_contact_city = Baltimore
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 21205
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM30nnn/GSM30549/suppl/GSM30549_cy3.tif.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM30nnn/GSM30549/suppl/GSM30549_cy5.tif.gz
!Sample_series_id = GSE1752
!Sample_series_id = GSE1838
!Sample_data_row_count = 22575
#ID_REF = Serial identifier for probe
#F635_Median = Cy5 (F635) median fluorescence intensity
#B635_Median = Cy5 (F635) background median fluorescence intensity
#F532_Median = Cy3 (F532) median fluorescence intensity
#B532_Median = Cy3 (F532) background median fluorescence intensity
#F635-B635_Median = Background substracted Cy5 (F635) median fluorescence intensity
#F532-B532_Median = Background substracted Cy3 (F532) median fluorescence intensity
#VALUE = log ratio (log2 of PRE_VALUE)
#Flags =  
#PRE_VALUE = Normalized ratio defined by F635-B635_Median/F532-B532_Median
!sample_table_begin
ID_REF	F635_Median	B635_Median	F532_Median	B532_Median	F635-B635_Median	F532-B532_Median	VALUE	Flags	PRE_VALUE
2926	16966	58	38507	82	16908	38425	-0.3400753	0	0.79
2927	130	62	304	75	68	229	-0.9159363	-50	0.53
2928	74	63	103	76	11	27	-0.4540323	-50	0.73
2929	93	60	218	80	33	138	-1.2175913	-50	0.43
2930	13284	61	23194	80	13223	23114	0.0426443	0	1.03
2931	372	59	600	79	313	521	0.1110313	-50	1.08
2932	9548	60	18988	82	9488	18906	-0.1520033	0	0.90
2933	1053	65	1879	79	988	1800	-0.0145003	0	0.99
2934	330	59	948	79	271	869	-0.8365013	-50	0.56
2935	2720	60	4062	82	2660	3980	0.2630343	0	1.20
2936	22489	62	40247	85	22427	40162	0.0143553	0	1.01
2937	9380	56	10328	77	9324	10251	0.7136963	0	1.64
2938	156	60	114	81	96	33	2.3895673	-50	5.24
2939	189	53	403	79	136	324	-0.3959293	-50	0.76
2940	259	68	887	82	191	805	-1.2175913	-50	0.43
2941	321	59	273	75	262	198	1.2509623	-50	2.38
2942	618	62	904	74	556	830	0.2750073	0	1.21
2943	94	61	226	75	33	151	-1.3584543	-50	0.39
2944	260	58	301	82	202	219	0.7311833	-50	1.66
2945	16634	63	31777	82	16571	31695	-0.0892673	0	0.94
2946	231	61	395	77	170	318	-0.0588943	-50	0.96
2947	13634	62	29208	75	13572	29133	-0.2515393	0	0.84
2948	15473	60	26489	80	15413	26409	0.0703893	0	1.05
2949	2338	64	3694	77	2274	3617	0.1763233	0	1.13
2950	787	58	1092	75	729	1017	0.3673713	0	1.29
2951	7615	60	11950	82	7555	11868	0.2016343	0	1.15
2952	2102	64	7439	74	2038	7365	-1.0000003	0	0.50
2953	8277	57	16577	76	8220	16501	-0.1520033	0	0.90
2954	2529	59	4512	76	2470	4436	0.0000003	0	1.00
2955	1008	57	1113	78	951	1035	0.7224663	0	1.65
2956	2254	58	3444	75	2196	3369	0.2265093	0	1.17
2957	233	62	542	81	171	461	-0.5777673	-50	0.67
2958	121	60	184	81	61	103	0.0976113	-50	1.07
2959	7666	57	13198	76	7609	13122	0.0565843	0	1.04
2960	10327	57	22375	80	10270	22295	-0.2688173	0	0.83
2961	840	58	1502	81	782	1421	-0.0145003	0	0.99
2962	522	56	516	77	466	439	0.9335733	0	1.91
2963	7423	61	12375	77	7362	12298	0.1110313	0	1.08
2964	101	58	144	76	43	68	0.1890343	-50	1.14
2965	21935	58	41843	82	21877	41761	-0.0892673	0	0.94
2966	255	59	506	84	196	422	-0.2515393	-50	0.84
2967	14654	64	26449	78	14590	26371	0.0000003	0	1.00
2968	12530	58	19680	81	12472	19599	0.2016343	0	1.15
2969	27734	60	42768	76	27674	42692	0.2265093	0	1.17
2970	17178	66	35849	83	17112	35766	-0.2175913	0	0.86
2971	2752	66	4418	80	2686	4338	0.1505603	0	1.11
2972	3050	65	5216	81	2985	5135	0.0703893	0	1.05
2973	14835	62	22089	80	14773	22009	0.2750073	0	1.21
2974	22785	66	31385	85	22719	31300	0.3895673	0	1.31
2975	7136	63	12500	88	7073	12412	0.0426443	0	1.03
2976	132	63	193	82	69	111	0.1634993	-50	1.12
2977	1945	63	7195	83	1882	7112	-1.0588943	0	0.48
2978	445	63	947	78	382	869	-0.3400753	-50	0.79
2979	6489	58	9564	80	6431	9484	0.2868813	0	1.22
2980	2664	61	4548	84	2603	4464	0.0703893	0	1.05
2981	1848	59	3664	82	1789	3582	-0.1520033	0	0.90
2982	5390	55	10608	75	5335	10533	-0.1360623	0	0.91
2983	454	60	892	78	394	814	-0.2009133	-50	0.87
2984	1411	62	3071	81	1349	2990	-0.3040063	0	0.81
2985	11918	63	18411	85	11855	18326	0.2141253	0	1.16
2986	1022	58	3826	78	964	3748	-1.1202943	0	0.46
2987	16616	58	27412	84	16558	27328	0.1243283	0	1.09
2988	9581	62	19040	84	9519	18956	-0.1520033	0	0.90
2989	843	62	1743	81	781	1662	-0.2344653	0	0.85
2990	27713	66	44230	82	27647	44148	0.1763233	0	1.13
2991	14170	66	20116	84	14104	20032	0.3448283	0	1.27
2992	85	58	102	73	27	29	0.7484613	-50	1.68
2993	45798	62	60891	78	45736	60813	0.4329593	0	1.35
2994	143	57	152	67	86	85	0.8639383	-50	1.82
2995	139	61	134	81	78	53	1.4059923	-50	2.65
2996	9931	67	19414	85	9864	19329	-0.1202943	0	0.92
2997	11614	68	19956	79	11546	19877	0.0703893	0	1.05
2998	167	60	267	82	107	185	0.0565843	-50	1.04
2999	9956	62	17924	78	9894	17846	0.0000003	0	1.00
3000	6662	61	11123	73	6601	11050	0.1110313	0	1.08
3001	180	58	413	80	122	333	-0.5994623	-50	0.66
3002	10655	55	20724	73	10600	20651	-0.1202943	0	0.92
3003	631	59	3237	79	572	3158	-1.5994623	0	0.33
3004	166	58	313	77	108	236	-0.2863043	-50	0.82
3005	8611	59	17294	74	8552	17220	-0.1681233	0	0.89
3006	126	59	185	77	67	108	0.1634993	-50	1.12
3007	14291	56	23747	75	14235	23672	0.1110313	0	1.08
3008	89	58	140	74	31	66	-0.2344653	-50	0.85
3009	682	58	3288	79	624	3209	-1.5145733	0	0.35
3010	6128	57	13165	72	6071	13093	-0.2688173	0	0.83
3011	24244	58	44084	78	24186	44006	-0.0145003	0	0.99
3012	3524	53	5903	77	3471	5826	0.0976113	0	1.07
3013	6742	62	12062	80	6680	11982	0.0000003	0	1.00
3014	9395	57	19264	83	9338	19181	-0.1844253	0	0.88
3015	7554	59	12370	80	7495	12290	0.1375043	0	1.10
3016	8970	56	25651	79	8914	25572	-0.6665763	0	0.63
3017	3644	61	5870	78	3583	5792	0.1505603	0	1.11
3018	132	67	253	89	65	164	-0.4941093	-50	0.71
3019	20295	66	36481	87	20229	36394	0.0000003	0	1.00
3020	770	65	1093	79	705	1014	0.3219283	0	1.25
3021	81	58	111	77	23	34	0.2868813	-50	1.22
3022	115	57	199	78	58	121	-0.2175913	-50	0.86
3023	162	63	259	82	99	177	0.0143553	-50	1.01
3024	162	67	223	86	95	137	0.3219283	-50	1.25
3025	9494	70	16852	85	9424	16767	0.0143553	0	1.01
3026	148	65	172	86	83	86	0.7990873	-50	1.74
3027	125	67	133	95	58	38	1.4594323	-50	2.75
3028	2591	59	3471	84	2532	3387	0.4329593	0	1.35
3029	6851	64	17152	89	6787	17063	-0.4739313	0	0.72
3030	6310	61	11727	82	6249	11645	-0.0439433	0	0.97
3031	6612	64	10870	80	6548	10790	0.1243283	0	1.09
3032	117	55	152	80	62	72	0.6322683	-50	1.55
3033	6578	62	13721	80	6516	13641	-0.2175913	0	0.86
3034	368	58	900	78	310	822	-0.5563933	-50	0.68
3035	251	57	240	78	194	162	1.1110313	-50	2.16
3036	1411	61	3386	75	1350	3311	-0.4540323	0	0.73
3037	576	67	1135	80	509	1055	-0.2009133	0	0.87
3038	244	63	759	80	181	679	-1.0588943	-50	0.48
3039	15917	57	28007	75	15860	27932	0.0285693	0	1.02
3040	11778	60	16860	80	11718	16780	0.3334243	0	1.26
3041	5068	61	8740	76	5007	8664	0.0565843	0	1.04
3042	300	58	657	78	242	579	-0.4150373	-50	0.75
3043	3246	64	7673	85	3182	7588	-0.4150373	0	0.75
3044	776	63	1430	80	713	1350	-0.0740013	0	0.95
3045	910	67	1196	84	843	1112	0.4436073	0	1.36
3046	405	55	713	73	350	640	-0.0291463	-50	0.98
3047	4021	61	5745	75	3960	5670	0.3334243	0	1.26
3048	7304	63	13205	77	7241	13128	-0.0145003	0	0.99
3049	11272	60	17723	80	11212	17643	0.1890343	0	1.14
3050	99	71	426	84	28	342	-2.7369663	-50	0.15
3051	113	61	158	72	52	86	0.1243283	-50	1.09
3052	69	55	210	73	14	137	-2.4739313	-50	0.18
3053	4242	62	11235	80	4180	11155	-0.5777673	0	0.67
3054	107	64	153	86	43	67	0.2141253	-50	1.16
3055	4308	55	7690	75	4253	7615	0.0143553	0	1.01
3056	124	65	174	75	59	99	0.0976113	-50	1.07
3057	9259	63	15092	77	9196	15015	0.1375043	0	1.10
3058	134	62	139	70	72	69	0.9107333	-50	1.88
3059	119	64	143	81	55	62	0.6780723	-50	1.60
3060	99	64	122	91	35	31	1.0214803	-50	2.03
3061	65	60	124	73	5	51	-2.4739313	-50	0.18
3062	11531	58	16734	75	11473	16659	0.3103403	0	1.24
3063	1324	63	2399	72	1261	2327	-0.0291463	0	0.98
3064	2760	55	4797	75	2705	4722	0.0426443	0	1.03
3065	19507	62	35991	76	19445	35915	-0.0439433	0	0.97
3066	139	65	236	78	74	158	-0.2515393	-50	0.84
3067	6709	56	11300	78	6653	11222	0.0976113	0	1.07
3068	12378	61	19055	77	12317	18978	0.2265093	0	1.17
3069	207	59	905	73	148	832	-1.6438563	-50	0.32
3070	122	64	389	76	58	313	-1.5994623	-50	0.33
3071	247	61	1212	82	186	1130	-1.7369663	-50	0.30
3072	2613	65	4825	85	2548	4740	-0.0439433	0	0.97
3073	143	55	180	81	88	99	0.6780723	-50	1.60
3074	5835	57	9147	77	5778	9070	0.2016343	0	1.15
3075	2591	60	3570	76	2531	3494	0.3785123	0	1.30
3076	25095	61	38249	82	25034	38167	0.2387873	0	1.18
3077	10281	66	19692	88	10215	19604	-0.0892673	0	0.94
3078	12462	69	26977	87	12393	26890	-0.2688173	0	0.83
3079	5556	64	10278	88	5492	10190	-0.0439433	0	0.97
3080	7084	64	12708	88	7020	12620	0.0000003	0	1.00
3081	16048	67	22938	92	15981	22846	0.3334243	0	1.26
3082	13130	62	28110	85	13068	28025	-0.2515393	0	0.84
3083	6341	64	10186	84	6277	10102	0.1634993	0	1.12
3084	6161	55	11044	77	6106	10967	0.0000003	0	1.00
3085	13109	62	27710	77	13047	27633	-0.2344653	0	0.85
3086	16924	60	26986	75	16864	26911	0.1763233	0	1.13
3087	15507	59	21607	80	15448	21527	0.3673713	0	1.29
3088	7477	64	17329	79	7413	17250	-0.3770703	0	0.77
3089	165	66	344	83	99	261	-0.5563933	-50	0.68
3090	5207	66	9233	86	5141	9147	0.0143553	0	1.01
3091	8812	58	13860	77	8754	13783	0.1890343	0	1.14
3092	1918	58	3147	80	1860	3067	0.1243283	0	1.09
3093	160	62	245	82	98	163	0.1110313	-50	1.08
3094	109	62	206	77	47	129	-0.5994623	-50	0.66
3095	8599	60	18268	85	8539	18183	-0.2344653	0	0.85
3096	6877	62	17145	82	6815	17063	-0.4739313	0	0.72
3097	88	65	109	86	23	23	0.8479973	-50	1.80
3098	89	58	117	72	31	45	0.3103403	-50	1.24
3099	1221	62	2090	76	1159	2014	0.0565843	0	1.04
3100	231	58	276	75	173	201	0.6322683	-50	1.55
3101	165	62	446	73	103	373	-1.0000003	-50	0.50
3102	4261	60	5918	77	4201	5841	0.3673713	0	1.29
3103	117	61	168	77	56	91	0.1505603	-50	1.11
3104	139	62	215	74	77	141	-0.0291463	-50	0.98
3105	93	51	131	75	42	56	0.4329593	-50	1.35
3106	5308	66	9954	86	5242	9868	-0.0588943	0	0.96
3107	7219	62	14586	75	7157	14511	-0.1681233	0	0.89
3108	6017	58	10177	75	5959	10102	0.0840643	0	1.06
3109	86	62	109	81	24	28	0.6229303	-50	1.54
3110	292	61	617	73	231	544	-0.3959293	-50	0.76
3111	89	64	138	75	25	63	-0.4941093	-50	0.71
3112	797	55	1175	76	742	1099	0.2868813	0	1.22
3113	21333	62	45161	80	21271	45081	-0.2344653	0	0.85
3114	17951	62	26931	79	17889	26852	0.2630343	0	1.20
3115	406	59	668	79	347	589	0.0840643	-50	1.06
3116	3746	56	6543	74	3690	6469	0.0426443	0	1.03
3117	2246	58	3742	80	2188	3662	0.1110313	0	1.08
3118	7315	61	17429	80	7254	17349	-0.4150373	0	0.75
3119	8911	64	15844	81	8847	15763	0.0143553	0	1.01
3120	155	64	281	78	91	203	-0.3040063	-50	0.81
3121	111	59	159	76	52	83	0.1763233	-50	1.13
3122	11105	62	16331	74	11043	16257	0.2868813	0	1.22
3123	13497	67	20062	83	13430	19979	0.2750073	0	1.21
3124	1821	65	7492	83	1756	7409	-1.2175913	0	0.43
3125	4514	59	8552	82	4455	8470	-0.0740013	0	0.95
3126	193	55	203	80	138	123	1.0143553	-50	2.02
3127	1010	64	591	78	946	513	1.7311833	0	3.32
3128	8291	56	8414	81	8235	8333	0.8318773	0	1.78
3129	2362	60	5460	81	2302	5379	-0.3770703	0	0.77
3130	152	61	243	83	91	160	0.0285693	-50	1.02
3131	201	67	219	80	134	139	0.7990873	-50	1.74
3132	87	61	130	85	26	45	0.0565843	-50	1.04
3133	11137	60	22112	82	11077	22030	-0.1360623	0	0.91
3134	2674	59	6098	87	2615	6011	-0.3584543	0	0.78
3135	10359	56	17677	83	10303	17594	0.0703893	0	1.05
3136	4245	58	12102	77	4187	12025	-0.6665763	0	0.63
3137	1062	60	3173	83	1002	3090	-0.7858753	0	0.58
3138	8538	61	16793	79	8477	16714	-0.1360623	0	0.91
3139	1641	54	2447	75	1587	2372	0.2630343	0	1.20
3140	3088	54	4491	80	3034	4411	0.3103403	0	1.24
3141	3073	58	5259	79	3015	5180	0.0703893	0	1.05
3142	10444	60	18137	79	10384	18058	0.0565843	0	1.04
3143	174	59	240	72	115	168	0.2986583	-50	1.23
3144	5021	63	11005	75	4958	10930	-0.2863043	0	0.82
3145	2978	61	5809	73	2917	5736	-0.1202943	0	0.92
3146	2389	60	4639	78	2329	4561	-0.1202943	0	0.92
3147	6470	59	11911	79	6411	11832	-0.0291463	0	0.98
3148	9170	66	19200	75	9104	19125	-0.2175913	0	0.86
3149	205	61	359	80	144	279	-0.1046973	-50	0.93
3150	172	72	332	92	100	240	-0.4150373	-50	0.75
3151	98	60	164	82	38	82	-0.2688173	-50	0.83
3152	16009	58	34556	82	15951	34474	-0.2688173	0	0.83
3153	136	57	192	72	79	120	0.2509623	-50	1.19
3154	167	60	444	81	107	363	-0.9159363	-50	0.53
3155	9118	64	17584	87	9054	17497	-0.1046973	0	0.93
3156	3473	58	6430	83	3415	6347	-0.0439433	0	0.97
3157	115	63	134	74	52	60	0.6415463	-50	1.56
3158	2246	59	5636	81	2187	5555	-0.4941093	0	0.71
3159	2197	62	4557	83	2135	4474	-0.2175913	0	0.86
3160	1603	54	2860	75	1549	2785	0.0000003	0	1.00
3161	208	57	575	75	151	500	-0.8889693	-50	0.54
3162	2482	55	2585	72	2427	2513	0.7990873	0	1.74
3163	720	53	1158	72	667	1086	0.1505603	0	1.11
3164	88	60	135	79	28	56	-0.1520033	-50	0.90
3165	4901	60	6234	76	4841	6158	0.5058913	0	1.42
3166	3525	61	7922	82	3464	7840	-0.3219283	0	0.80
3167	21766	57	34346	79	21709	34267	0.1890343	0	1.14
3168	3003	59	5435	77	2944	5358	-0.0145003	0	0.99
3169	5971	57	12649	70	5914	12579	-0.2344653	0	0.85
3170	90	60	115	77	30	38	0.5058913	-50	1.42
3171	1053	63	1388	80	990	1308	0.4436073	0	1.36
3172	12973	64	20215	83	12909	20132	0.2016343	0	1.15
3173	7436	60	13903	79	7376	13824	-0.0588943	0	0.96
3174	90	62	112	74	28	38	0.4114263	-50	1.33
3175	4116	63	7923	84	4053	7839	-0.1046973	0	0.93
3176	9704	63	20808	82	9641	20726	-0.2515393	0	0.84
3177	16664	64	29513	81	16600	29432	0.0285693	0	1.02
3178	9441	59	19954	89	9382	19865	-0.2344653	0	0.85
3179	5371	65	8481	78	5306	8403	0.1890343	0	1.14
3180	10427	57	21061	82	10370	20979	-0.1681233	0	0.89
3181	6739	56	15422	77	6683	15345	-0.3584543	0	0.78
3182	4718	63	12333	78	4655	12255	-0.5563933	0	0.68
3183	5805	63	8907	84	5742	8823	0.2265093	0	1.17
3184	11875	61	21291	85	11814	21206	0.0000003	0	1.00
3185	522	65	1833	85	457	1748	-1.0892673	0	0.47
3186	179	59	355	81	120	274	-0.3400753	-50	0.79
3187	9531	59	19115	85	9472	19030	-0.1520033	0	0.90
3188	263	62	436	80	201	356	0.0285693	-50	1.02
3189	5234	56	8484	75	5178	8409	0.1505603	0	1.11
3190	125	55	186	77	70	109	0.2141253	-50	1.16
3191	1585	59	2157	77	1526	2080	0.4005383	0	1.32
3192	7722	61	12850	78	7661	12772	0.1110313	0	1.08
3193	126	51	137	78	75	59	1.1953483	-50	2.29
3194	1101	61	1465	78	1040	1387	0.4329593	0	1.35
3195	7192	63	12008	84	7129	11924	0.1110313	0	1.08
3196	14076	58	23868	76	14018	23792	0.0840643	0	1.06
3197	26670	64	42936	75	26606	42861	0.1634993	0	1.12
3198	2697	63	4954	78	2634	4876	-0.0439433	0	0.97
3199	2441	63	4770	82	2378	4688	-0.1360623	0	0.91
3200	7506	63	12733	84	7443	12649	0.0840643	0	1.06
3201	2141	61	4978	76	2080	4902	-0.3959293	0	0.76
3202	996	61	3737	82	935	3655	-1.1202943	0	0.46
3203	78	53	141	71	25	70	-0.6438563	-50	0.64
3204	3518	58	7118	76	3460	7042	-0.1844253	0	0.88
3205	91	57	175	67	34	108	-0.8109663	-50	0.57
3206	15468	60	25422	81	15408	25341	0.1243283	0	1.09
3207	8680	66	14859	76	8614	14783	0.0703893	0	1.05
3208	18508	59	35018	80	18449	34938	-0.0740013	0	0.95
3209	23572	58	41368	81	23514	41287	0.0426443	0	1.03
3210	8740	57	17429	73	8683	17356	-0.1520033	0	0.90
3211	14284	61	27865	80	14223	27785	-0.1202943	0	0.92
3212	2766	58	6011	79	2708	5932	-0.2863043	0	0.82
3213	2523	61	4296	76	2462	4220	0.0703893	0	1.05
3214	5820	58	9657	80	5762	9577	0.1110313	0	1.08
3215	5838	60	11028	71	5778	10957	-0.0740013	0	0.95
3216	5508	56	14156	77	5452	14079	-0.5145733	0	0.70
3217	6216	59	12421	78	6157	12343	-0.1520033	0	0.90
3218	156	67	322	77	89	245	-0.6214883	-50	0.65
3219	23625	61	42134	81	23564	42053	0.0143553	0	1.01
3220	7000	63	17342	82	6937	17260	-0.4739313	0	0.72
3221	2460	60	4268	78	2400	4190	0.0426443	0	1.03
3222	3827	61	8002	81	3766	7921	-0.2175913	0	0.86
3223	6150	57	14689	76	6093	14613	-0.4150373	0	0.75
3224	95	60	141	80	35	61	0.0426443	-50	1.03
3225	119	62	157	75	57	82	0.3219283	-50	1.25
3226	9211	61	18111	87	9150	18024	-0.1360623	0	0.91
3227	3492	58	6754	74	3434	6680	-0.1046973	0	0.93
3228	5656	59	9876	82	5597	9794	0.0426443	0	1.03
3229	14199	61	24713	74	14138	24639	0.0426443	0	1.03
3230	15039	64	34920	83	14975	34837	-0.3770703	0	0.77
3231	1403	61	3528	78	1342	3450	-0.5145733	0	0.70
3232	365	59	595	80	306	515	0.0976113	-50	1.07
3233	75	69	178	85	6	93	-3.0588943	-50	0.12
3234	7245	61	13890	89	7184	13801	-0.0892673	0	0.94
3235	94	67	129	80	27	49	-0.0145003	-50	0.99
3236	2522	61	5070	84	2461	4986	-0.1681233	0	0.89
3237	8874	62	16613	89	8812	16524	-0.0588943	0	0.96
3238	9488	58	14875	84	9430	14791	0.2016343	0	1.15
3239	136	64	202	89	72	113	0.2016343	-50	1.15
3240	11998	61	22272	78	11937	22194	-0.0439433	0	0.97
3241	2458	60	4221	82	2398	4139	0.0565843	0	1.04
3242	436	57	856	80	379	776	-0.1844253	-50	0.88
3243	90	71	147	84	19	63	-0.8889693	-50	0.54
3244	237	61	189	77	176	112	1.5008023	-50	2.83
3245	7315	61	13385	83	7254	13302	-0.0291463	0	0.98
3246	8328	60	16490	83	8268	16407	-0.1360623	0	0.91
3247	19355	61	29511	85	19294	29426	0.2387873	0	1.18
3248	106	53	154	78	53	76	0.3334243	-50	1.26
3249	88	64	149	75	24	74	-0.7858753	-50	0.58
3250	10857	58	26110	78	10799	26032	-0.4150373	0	0.75
3251	157	73	124	84	84	40	1.9183863	-50	3.78
3252	80	61	107	80	19	27	0.3448283	-50	1.27
3253	7617	62	13221	83	7555	13138	0.0565843	0	1.04
3254	81	63	117	83	18	34	-0.0740013	-50	0.95
3255	5434	68	7418	91	5366	7327	0.4005383	0	1.32
3256	6646	54	11268	78	6592	11190	0.0840643	0	1.06
3257	8043	59	15769	74	7984	15695	-0.1202943	0	0.92
3258	164	60	306	75	104	231	-0.3040063	-50	0.81
3259	1407	58	4039	72	1349	3967	-0.7131193	0	0.61
3260	1929	62	2795	77	1867	2718	0.3103403	0	1.24
3261	8258	58	17492	75	8200	17417	-0.2344653	0	0.85
3262	1757	60	4677	76	1697	4601	-0.5994623	0	0.66
3263	93	59	120	72	34	48	0.3561443	-50	1.28
3264	4305	58	13292	77	4247	13215	-0.7858753	0	0.58
3265	9978	60	21328	78	9918	21250	-0.2515393	0	0.84
3266	518	61	554	78	457	476	0.7907723	0	1.73
3267	272	58	636	75	214	561	-0.5353323	-50	0.69
3268	14605	52	27032	72	14553	26960	-0.0439433	0	0.97
3269	16148	56	30287	75	16092	30212	-0.0588943	0	0.96
3270	2169	58	4735	76	2111	4659	-0.2863043	0	0.82
3271	4491	60	8728	78	4431	8650	-0.1202943	0	0.92
3272	2297	55	3869	71	2242	3798	0.0840643	0	1.06
3273	327	56	493	78	271	415	0.2387873	-50	1.18
3274	6107	60	8226	80	6047	8146	0.4222333	0	1.34
3275	2792	52	7928	79	2740	7849	-0.6665763	0	0.63
3276	147	65	237	77	82	160	-0.1202943	-50	0.92
3277	13848	64	21529	80	13784	21449	0.2141253	0	1.16
3278	11419	60	24878	86	11359	24792	-0.2863043	0	0.82
3279	8131	60	15971	77	8071	15894	-0.1360623	0	0.91
3280	118	59	180	81	59	99	0.0976113	-50	1.07
3281	16728	64	35456	78	16664	35378	-0.2344653	0	0.85
3282	14372	67	32736	82	14305	32654	-0.3400753	0	0.79
3283	101	56	314	86	45	228	-1.4739313	-50	0.36
3284	6054	61	10179	78	5993	10101	0.0976113	0	1.07
3285	17085	62	33581	83	17023	33498	-0.1360623	0	0.91
3286	672	57	566	80	615	486	1.1890343	0	2.28
3287	1044	64	1510	86	980	1424	0.3103403	0	1.24
3288	180	61	284	85	119	199	0.1110313	-50	1.08
3289	606	64	941	80	542	861	0.1763233	0	1.13
3290	218	61	105	80	157	25	3.4982513	-50	11.30
3291	163	60	156	79	103	77	1.2690333	-50	2.41
3292	78	58	128	79	20	49	-0.4540323	-50	0.73
3293	15926	64	27740	85	15862	27655	0.0426443	0	1.03
3294	7051	59	13018	76	6992	12942	-0.0439433	0	0.97
3295	10005	62	18400	79	9943	18321	-0.0291463	0	0.98
3296	6891	59	12801	79	6832	12722	-0.0439433	0	0.97
3297	88	58	176	76	30	100	-0.8889693	-50	0.54
3298	15200	58	28613	80	15142	28533	-0.0588943	0	0.96
3299	11823	63	21509	83	11760	21426	-0.0145003	0	0.99
3300	156	74	197	83	82	114	0.3673713	-50	1.29
3301	11251	56	24765	74	11195	24691	-0.2863043	0	0.82
3302	12138	56	22454	74	12082	22380	-0.0439433	0	0.97
3303	3215	53	6744	77	3162	6667	-0.2344653	0	0.85
3304	8634	61	16937	79	8573	16858	-0.1202943	0	0.92
3305	79	59	108	84	20	24	0.5849633	-50	1.50
3306	7611	59	11586	78	7552	11508	0.2387873	0	1.18
3307	9398	61	16609	81	9337	16528	0.0285693	0	1.02
3308	2546	58	5403	75	2488	5328	-0.2515393	0	0.84
3309	6685	55	14027	78	6630	13949	-0.2175913	0	0.86
3310	346	55	704	72	291	632	-0.2688173	-50	0.83
3311	18519	61	39210	82	18458	39128	-0.2344653	0	0.85
3312	2785	61	4812	76	2724	4736	0.0565843	0	1.04
3313	8343	60	19738	80	8283	19658	-0.3959293	0	0.76
3314	92	61	302	79	31	223	-2.0000003	-50	0.25
3315	100	58	266	80	42	186	-1.2863043	-50	0.41
3316	3090	62	5727	76	3028	5651	-0.0588943	0	0.96
3317	8694	56	13760	76	8638	13684	0.1890343	0	1.14
3318	89	56	119	77	33	42	0.4956953	-50	1.41
3319	3838	58	7728	74	3780	7654	-0.1681233	0	0.89
3320	113	57	233	78	56	155	-0.6214883	-50	0.65
3321	102	61	208	77	41	131	-0.8365013	-50	0.56
3322	21216	67	39327	79	21149	39248	-0.0439433	0	0.97
3323	10841	58	14769	75	10783	14694	0.4005383	0	1.32
3324	105	63	183	75	42	108	-0.5145733	-50	0.70
3325	5045	56	11740	72	4989	11668	-0.3770703	0	0.77
3326	8109	58	16579	80	8051	16499	-0.1844253	0	0.88
3327	107	62	297	73	45	224	-1.4739313	-50	0.36
3328	9372	63	19730	78	9309	19652	-0.2344653	0	0.85
3329	8715	54	18216	79	8661	18137	-0.2175913	0	0.86
3330	24045	61	34905	80	23984	34825	0.3103403	0	1.24
3331	13893	58	25145	78	13835	25067	-0.0145003	0	0.99
3332	96	53	480	77	43	403	-2.3959293	-50	0.19
3333	16000	62	20338	88	15938	20250	0.5058913	0	1.42
3334	2221	61	3992	83	2160	3909	-0.0145003	0	0.99
3335	15625	63	28774	78	15562	28696	-0.0291463	0	0.98
3336	14135	63	21680	82	14072	21598	0.2265093	0	1.17
3337	93	64	183	86	29	97	-0.8889693	-50	0.54
