Gene	Orf	Spo1	Spo2	HomDip	oligo	microarray	Under 15%	Biological Process	Molecular Function	Cellular Component
FTI1	YKR035W-A	1.557	3.194	1.001	 	 	 	not yet annotated	not yet annotated	not yet annotated
pck1	YKR097W	2.383	5.238	1.008	W303	repressed	 	gluconeogenesis	phosphoenolpyruvate carboxykinase (ATP)	cytosol
APG17	YLR423C	1.606	2.487	0.846	W303	 	 	autophagy	molecular_function unknown	not yet annotated
hmg2	YLR450W	2.045	2.285	0.990	SK1	 	 	ergosterol biosynthesis	hydroxymethylglutaryl-CoA reductase (NADPH)	mitochondrial matrix*
POP2	YNR052C	2.229	2.114	0.859	 	 	 	not yet annotated	not yet annotated	not yet annotated
RIM9	YMR063W	1.771	2.377	0.972	 	 	 	not yet annotated	not yet annotated	not yet annotated
VPS20	YMR077C	2.024	3.516	0.946	 	 	 	biological_process unknown	molecular_function unknown	cellular_component unknown
SPO21	YOL091W	2.469	5.539	1.000	Both	induced	 	not yet annotated	molecular_function unknown	not yet annotated
PKH2	YOL100W	2.714	3.429	0.950	 	induced	 	biological_process unknown	not yet annotated	not yet annotated
MDH2	YOL126C	2.059	3.740	1.018	Both	repressed	 	gluconeogenesis*	malic enzyme	cytosol*
YPL137C	YPL137C	1.572	1.703	1.007	 	 	 	biological_process unknown	molecular_function unknown	not yet annotated
YHR132W-A	YHR132W-A	1.941	4.601	0.986	 	 	yes	biological_process unknown	molecular_function unknown	not yet annotated
ATP11	YNL315C	1.839	1.732	0.879	 	 	 	protein complex assembly	chaperone	mitochondrial matrix
